PMID,ArticleType
25475116,Journal Article; Multicenter Study; Randomized Controlled Trial
32206464,Journal Article
1401313,Journal Article; Review
37878668,Journal Article
36253209,Journal Article
32987875,Journal Article
24373924,Journal Article
7453930,Journal Article
38420236,Journal Article
37443717,Clinical Trial; Journal Article
37551304,Journal Article; Review
39874197,Journal Article
38456192,Journal Article
37615850,Randomized Controlled Trial; Multicenter Study; Journal Article
28271171,Journal Article
28081634,Journal Article
33977033,Journal Article
16492283,Journal Article
36376482,Journal Article
25336110,Journal Article
16736091,Journal Article
34169121,Journal Article
36988149,Journal Article
40092270,Journal Article
317004,Journal Article
22606059,Journal Article
20207456,Journal Article
31650933,Journal Article
36540573,Journal Article
18932906,Journal Article
32918091,Journal Article
36242913,Journal Article; Review
39737503,Journal Article
23524598,Journal Article
35151830,Journal Article; Review
34445019,Journal Article
11001939,Journal Article
25786641,Journal Article
37285743,Journal Article
32904992,Journal Article
7712532,Journal Article
36157038,Journal Article
20154043,Journal Article
15067820,Journal Article
40140776,Journal Article
32353565,Journal Article
40471394,Journal Article
40549290,Journal Article
40860274,Journal Article
28643719,Journal Article
10205262,Journal Article
37476360,Journal Article
33763060,Journal Article; Review
26229881,Journal Article
22542924,Journal Article
23105912,Journal Article
17664775,Journal Article
40350637,Journal Article; Review
17847952,Journal Article
35910145,Journal Article
36050687,Journal Article
34465395,Journal Article
1647170,Journal Article
25713720,Journal Article
37007997,Journal Article; Review
36210465,Journal Article
31609457,Journal Article
24876668,Journal Article
35483421,Journal Article
27535253,Journal Article; Review
36465624,Journal Article
32404908,Journal Article
7676134,Journal Article; Review
6543841,Journal Article
34646240,Clinical Trial; Journal Article
34941093,Journal Article
33768674,Journal Article
31989660,Journal Article
36551682,Journal Article
35907797,Journal Article
28879639,Journal Article
36264042,Journal Article
16197918,Journal Article
8929077,Journal Article
36837181,Journal Article
27734648,Journal Article
31940801,Journal Article; Review
37964218,Journal Article
6503572,Journal Article
33193118,Journal Article
22213341,Journal Article
40460942,Journal Article
32870197,Journal Article
39664052,Journal Article
33179231,Journal Article
37786570,Journal Article
34069325,Journal Article
32502471,Journal Article
35835916,Journal Article
31948109,Journal Article; Review
38093476,Journal Article
37011869,Journal Article; Review
36327861,Journal Article
36892343,Journal Article
31970989,Journal Article
30316064,Journal Article
33748353,Journal Article
39952417,Journal Article; Review
28878548,Journal Article
36364349,Journal Article
36677908,Journal Article
28492150,Journal Article
35080654,Journal Article
36232942,Journal Article
33029096,Journal Article; Review
38590786,Journal Article
37706063,Journal Article
33335866,Journal Article; Review
40382406,Journal Article
25665838,Journal Article
33118050,Journal Article
32636594,Journal Article
36243399,Journal Article
31235217,Journal Article
20665660,Journal Article
17564710,Journal Article; Review
36295892,Journal Article
34437458,Journal Article
32050984,Journal Article
40916698,Journal Article
32314049,Journal Article
39362993,Journal Article
39842076,Journal Article
37016715,Journal Article; Review
21104647,Journal Article
36320520,Journal Article
26221390,Journal Article
39203858,Journal Article; Randomized Controlled Trial
38132825,Journal Article
33893098,Journal Article
11262988,Journal Article
37888054,Journal Article
25680927,Journal Article
35685462,Journal Article
28690378,Journal Article
36235975,Journal Article
37811011,Journal Article
35110678,Journal Article
34599806,Journal Article
32466960,Journal Article
19247659,Journal Article
39620070,Journal Article
34578995,Journal Article
32620198,Journal Article; Review
36357418,Journal Article
23704321,Journal Article
34714010,Journal Article
37442231,Journal Article; Review
36817589,Journal Article; Review
32107984,Journal Article
13770605,Journal Article
28192171,Journal Article
11349468,Journal Article
34344451,Letter
25860819,Journal Article; Review
13502394,Journal Article
34504318,Journal Article
32455750,Journal Article
33328986,Journal Article; Review
25804398,Journal Article
33365210,Journal Article
35964092,Journal Article; Review
35671204,Journal Article
2383921,Journal Article
24618234,Journal Article
34361791,Journal Article
32284865,Journal Article
22127706,Journal Article
32968167,Journal Article
31578365,Journal Article
36985595,Journal Article
15365968,Journal Article
33624332,Journal Article
31496470,Journal Article
31503358,Journal Article
32962123,Journal Article; Review
36237614,Journal Article
34435360,Journal Article
40108485,Journal Article; Meta-Analysis
33910624,Journal Article
39351877,Journal Article
20301627,Review
37402061,Journal Article
12051967,Journal Article; Review
35652597,Journal Article; Review
29629736,Journal Article
40627550,Journal Article
25940034,Journal Article
28329776,Journal Article
7753441,Journal Article
35495079,Journal Article
22850426,Journal Article
36295804,Journal Article; Review
37126604,Journal Article
19306858,Journal Article
35891968,Journal Article
20601653,Journal Article
38256395,Journal Article
34330083,Journal Article
39347187,Journal Article; Review
37446173,Journal Article; Randomized Controlled Trial
40346789,Journal Article
33670179,Journal Article
30054539,Journal Article
23368689,Journal Article
37551372,Journal Article
36090030,Journal Article; Review
34813075,Journal Article
27169295,Journal Article
24952314,Journal Article
34485014,Journal Article
33447953,Journal Article; Review
21108660,Journal Article
9674916,Journal Article
36118553,Journal Article
39869270,Journal Article
34313900,Journal Article; Review
21620748,Journal Article; Randomized Controlled Trial
37937039,Journal Article
35563144,Journal Article; Review
23353776,Journal Article
33606379,Journal Article
39605880,Journal Article
21308630,Journal Article
34194920,Journal Article
33883897,Journal Article
18945288,Journal Article
38217756,Journal Article
31900332,Journal Article
