node_id;label;type;degree
@CHEMICAL_Reactive_Oxygen_Species;@CHEMICAL_Reactive_Oxygen_Species;chemical;1862.0
@CHEMICAL_Acetylcysteine;@CHEMICAL_Acetylcysteine;chemical;1467.0
@CHEMICAL_Quercetin;@CHEMICAL_Quercetin;chemical;1271.0
@CHEMICAL_Glucose;@CHEMICAL_Glucose;chemical;1248.0
@CHEMICAL_Glutathione;@CHEMICAL_Glutathione;chemical;1208.0
@CHEMICAL_Minocycline;@CHEMICAL_Minocycline;chemical;1166.0
@CHEMICAL_Methotrexate;@CHEMICAL_Methotrexate;chemical;1140.0
@CHEMICAL_Tryptophan;@CHEMICAL_Tryptophan;chemical;1081.0
@CHEMICAL_Glutamic_Acid;@CHEMICAL_Glutamic_Acid;chemical;1037.0
@CHEMICAL_Lipopolysaccharides;@CHEMICAL_Lipopolysaccharides;chemical;1025.0
@CHEMICAL_Taurine;@CHEMICAL_Taurine;chemical;1002.0
@CHEMICAL_Ascorbic_Acid;@CHEMICAL_Ascorbic_Acid;chemical;991.0
@CHEMICAL_hesperetin;@CHEMICAL_hesperetin;chemical;963.0
@CHEMICAL_Calcium;@CHEMICAL_Calcium;chemical;910.0
@CHEMICAL_Testosterone;@CHEMICAL_Testosterone;chemical;908.0
@CHEMICAL_Tyrosine;@CHEMICAL_Tyrosine;chemical;880.0
@CHEMICAL_Acetaminophen;@CHEMICAL_Acetaminophen;chemical;859.0
@CHEMICAL_Thioctic_Acid;@CHEMICAL_Thioctic_Acid;chemical;837.0
@CHEMICAL_Hydrogen_Peroxide;@CHEMICAL_Hydrogen_Peroxide;chemical;830.0
@CHEMICAL_Rutin;@CHEMICAL_Rutin;chemical;829.0
@CHEMICAL_Uric_Acid;@CHEMICAL_Uric_Acid;chemical;795.0
@CHEMICAL_ferulic_acid;@CHEMICAL_ferulic_acid;chemical;790.0
@CHEMICAL_Malondialdehyde;@CHEMICAL_Malondialdehyde;chemical;776.0
@CHEMICAL_Zoledronic_Acid;@CHEMICAL_Zoledronic_Acid;chemical;758.0
@CHEMICAL_Vitamin_E;@CHEMICAL_Vitamin_E;chemical;748.0
@CHEMICAL_Flavonoids;@CHEMICAL_Flavonoids;chemical;744.0
@CHEMICAL_Phenylalanine;@CHEMICAL_Phenylalanine;chemical;744.0
@CHEMICAL_Cholesterol;@CHEMICAL_Cholesterol;chemical;732.0
@CHEMICAL_Cisplatin;@CHEMICAL_Cisplatin;chemical;726.0
@CHEMICAL_Polychlorinated_Dibenzodioxins;@CHEMICAL_Polychlorinated_Dibenzodioxins;chemical;725.0
@CHEMICAL_Cadmium;@CHEMICAL_Cadmium;chemical;714.0
@CHEMICAL_Fatty_Acids;@CHEMICAL_Fatty_Acids;chemical;686.0
@CHEMICAL_Amino_Acids;@CHEMICAL_Amino_Acids;chemical;670.0
@CHEMICAL_Melanins;@CHEMICAL_Melanins;chemical;669.0
@CHEMICAL_Citric_Acid;@CHEMICAL_Citric_Acid;chemical;656.0
@CHEMICAL_Adenosine_Triphosphate;@CHEMICAL_Adenosine_Triphosphate;chemical;651.0
@CHEMICAL_Hyaluronic_Acid;@CHEMICAL_Hyaluronic_Acid;chemical;611.0
@CHEMICAL_Carbon_Dioxide;@CHEMICAL_Carbon_Dioxide;chemical;607.0
@CHEMICAL_Steroids;@CHEMICAL_Steroids;chemical;592.0
@CHEMICAL_vanillin;@CHEMICAL_vanillin;chemical;589.0
@CHEMICAL_Ethanol;@CHEMICAL_Ethanol;chemical;576.0
@CHEMICAL_Melatonin;@CHEMICAL_Melatonin;chemical;575.0
@CHEMICAL_Arginine;@CHEMICAL_Arginine;chemical;564.0
@CHEMICAL_Aspirin;@CHEMICAL_Aspirin;chemical;555.0
@CHEMICAL_Glutamine;@CHEMICAL_Glutamine;chemical;553.0
@CHEMICAL_Dopamine;@CHEMICAL_Dopamine;chemical;552.0
@CHEMICAL_Triglycerides;@CHEMICAL_Triglycerides;chemical;547.0
@CHEMICAL_Lignin;@CHEMICAL_Lignin;chemical;542.0
@CHEMICAL_Chitosan;@CHEMICAL_Chitosan;chemical;540.0
@CHEMICAL_Curcumin;@CHEMICAL_Curcumin;chemical;532.0
@CHEMICAL_Lactic_Acid;@CHEMICAL_Lactic_Acid;chemical;530.0
@CHEMICAL_Zinc;@CHEMICAL_Zinc;chemical;527.0
@CHEMICAL_Salicylic_Acid;@CHEMICAL_Salicylic_Acid;chemical;519.0
@CHEMICAL_Nitric_Oxide;@CHEMICAL_Nitric_Oxide;chemical;515.0
@CHEMICAL_Doxorubicin;@CHEMICAL_Doxorubicin;chemical;511.0
@CHEMICAL_Aspartic_Acid;@CHEMICAL_Aspartic_Acid;chemical;507.0
@CHEMICAL_Thiobarbituric_Acid_Reactive_Substances;@CHEMICAL_Thiobarbituric_Acid_Reactive_Substances;chemical;485.0
@CHEMICAL_Histidine;@CHEMICAL_Histidine;chemical;484.0
@CHEMICAL_Asparagine;@CHEMICAL_Asparagine;chemical;482.0
@CHEMICAL_Lead;@CHEMICAL_Lead;chemical;479.0
@CHEMICAL_Resveratrol;@CHEMICAL_Resveratrol;chemical;473.0
@CHEMICAL_Hydrocortisone;@CHEMICAL_Hydrocortisone;chemical;470.0
@CHEMICAL_Silicon_Dioxide;@CHEMICAL_Silicon_Dioxide;chemical;466.0
@CHEMICAL_Lysine;@CHEMICAL_Lysine;chemical;458.0
@CHEMICAL_Creatinine;@CHEMICAL_Creatinine;chemical;455.0
@CHEMICAL_Phytic_Acid;@CHEMICAL_Phytic_Acid;chemical;446.0
@CHEMICAL_isoborneol;@CHEMICAL_isoborneol;chemical;442.0
@CHEMICAL_Estradiol;@CHEMICAL_Estradiol;chemical;437.0
@CHEMICAL_Metformin;@CHEMICAL_Metformin;chemical;434.0
@CHEMICAL_Bile_Acids_and_Salts;@CHEMICAL_Bile_Acids_and_Salts;chemical;433.0
@CHEMICAL_Phosphorus;@CHEMICAL_Phosphorus;chemical;427.0
@CHEMICAL_Glycine;@CHEMICAL_Glycine;chemical;414.0
@CHEMICAL_Cysteine;@CHEMICAL_Cysteine;chemical;409.0
@CHEMICAL_Selenium;@CHEMICAL_Selenium;chemical;409.0
@CHEMICAL_Dexamethasone;@CHEMICAL_Dexamethasone;chemical;405.0
@CHEMICAL_Proline;@CHEMICAL_Proline;chemical;402.0
@CHEMICAL_kaempferol;@CHEMICAL_kaempferol;chemical;402.0
@CHEMICAL_naringenin;@CHEMICAL_naringenin;chemical;397.0
@CHEMICAL_gamma_Aminobutyric_Acid;@CHEMICAL_gamma_Aminobutyric_Acid;chemical;396.0
@CHEMICAL_Serotonin;@CHEMICAL_Serotonin;chemical;390.0
@CHEMICAL_Vitamin_D;@CHEMICAL_Vitamin_D;chemical;387.0
@CHEMICAL_bisphenol_A;@CHEMICAL_bisphenol_A;chemical;387.0
@CHEMICAL_Cortisone;@CHEMICAL_Cortisone;chemical;386.0
@CHEMICAL_6_methyladenine;@CHEMICAL_6_methyladenine;chemical;385.0
@CHEMICAL_Luteolin;@CHEMICAL_Luteolin;chemical;385.0
@CHEMICAL_Arsenic;@CHEMICAL_Arsenic;chemical;373.0
@CHEMICAL_Carbohydrates;@CHEMICAL_Carbohydrates;chemical;363.0
@CHEMICAL_Cyclophosphamide;@CHEMICAL_Cyclophosphamide;chemical;360.0
@CHEMICAL_3_4_Methylenedioxyamphetamine;@CHEMICAL_3_4_Methylenedioxyamphetamine;chemical;359.0
@CHEMICAL_Alanine;@CHEMICAL_Alanine;chemical;356.0
@CHEMICAL_Potassium;@CHEMICAL_Potassium;chemical;353.0
@CHEMICAL_Methionine;@CHEMICAL_Methionine;chemical;351.0
@CHEMICAL_Leucine;@CHEMICAL_Leucine;chemical;348.0
@CHEMICAL_Hesperidin;@CHEMICAL_Hesperidin;chemical;347.0
@CHEMICAL_Kynurenine;@CHEMICAL_Kynurenine;chemical;346.0
@CHEMICAL_Polyphenols;@CHEMICAL_Polyphenols;chemical;344.0
@CHEMICAL_Streptozocin;@CHEMICAL_Streptozocin;chemical;332.0
@CHEMICAL_Folic_Acid;@CHEMICAL_Folic_Acid;chemical;330.0
@CHEMICAL_Polychlorinated_Biphenyls;@CHEMICAL_Polychlorinated_Biphenyls;chemical;330.0
@CHEMICAL_Superoxides;@CHEMICAL_Superoxides;chemical;330.0
@CHEMICAL_Teriparatide;@CHEMICAL_Teriparatide;chemical;327.0
@CHEMICAL_4_hydroxybenzoic_acid;@CHEMICAL_4_hydroxybenzoic_acid;chemical;326.0
@CHEMICAL_Progesterone;@CHEMICAL_Progesterone;chemical;326.0
@CHEMICAL_rhodamine_B;@CHEMICAL_rhodamine_B;chemical;326.0
@CHEMICAL_Tamoxifen;@CHEMICAL_Tamoxifen;chemical;324.0
@CHEMICAL_Nickel;@CHEMICAL_Nickel;chemical;317.0
@CHEMICAL_epigallocatechin_gallate;@CHEMICAL_epigallocatechin_gallate;chemical;313.0
@CHEMICAL_Cobalt;@CHEMICAL_Cobalt;chemical;312.0
@CHEMICAL_Hydroxyl_Radical;@CHEMICAL_Hydroxyl_Radical;chemical;312.0
@CHEMICAL_Paclitaxel;@CHEMICAL_Paclitaxel;chemical;309.0
@CHEMICAL_Carbon_Tetrachloride;@CHEMICAL_Carbon_Tetrachloride;chemical;308.0
@CHEMICAL_Rituximab;@CHEMICAL_Rituximab;chemical;305.0
@CHEMICAL_Serine;@CHEMICAL_Serine;chemical;305.0
@CHEMICAL_Urea;@CHEMICAL_Urea;chemical;304.0
@CHEMICAL_Fatty_Acids_Volatile;@CHEMICAL_Fatty_Acids_Volatile;chemical;299.0
@CHEMICAL_Ozone;@CHEMICAL_Ozone;chemical;295.0
@CHEMICAL_Tritium;@CHEMICAL_Tritium;chemical;294.0
@CHEMICAL_Benzene;@CHEMICAL_Benzene;chemical;293.0
@CHEMICAL_Chlorine;@CHEMICAL_Chlorine;chemical;291.0
@CHEMICAL_NAD;@CHEMICAL_NAD;chemical;291.0
