gene	drug	regulatory approval	indication	interaction score
CRYGD	DOXAPRAM	Approved	""	26.10189927944276
CRYGD	HE3235	Not Approved	antineoplastic agent	13.05094963972138
AOC1	OXYMETAZOLINE HYDROCHLORIDE	Approved	analgesic	0.05674325930313644
AOC1	CHLORPROMAZINE	Approved	""	0.03067203205574942
AOC1	RX821002	Not Approved	""	0.2837162965156822
AOC1	[3H]RAUWOLSCINE	Not Approved	""	0.2837162965156822
AOC1	SPIROXATRINE	Not Approved	""	0.1134865186062728
AOC1	RACEPINEPHRINE	Approved	""	0.1621235980089612
AOC1	RAUWOLSCINE	Not Approved	""	0.1418581482578411
AOC1	CABERGOLINE	Approved	Antiparkinson Agents	0.07092907412892055
AOC1	ZOTEPINE	Not Approved	""	0.07092907412892055
AOC1	ATIPAMEZOLE	Approved	""	0.3782883953542429
AOC1	BRIMONIDINE	Approved	for treatment of glaucoma	0.09457209883856074
AOC1	XYLOMETAZOLINE	Approved	""	0.1134865186062728
AOC1	LISURIDE	Not Approved	Antiparkinson Agents	0.05972974663488047
AOC1	TOLAZOLINE	Approved	Antihypertensive Agents	0.2269730372125457
AOC1	PHENTOLAMINE	Approved	Antihypertensive Agents,for treatment of erectile dysfunction	0.0756576790708486
AOC1	GUANFACINE HYDROCHLORIDE	Approved	for treatment of ADHD	0.103169562369339
AOC1	MK-912	Not Approved	""	0.2837162965156822
AOC1	EPINEPHRINE	Approved	anestethic	0.02837162965156822
AOC1	IDAZOXAN	Not Approved	""	0.09457209883856074
AOC1	TIZANIDINE HYDROCHLORIDE	Approved	muscle relaxant,for treatment of skeletal muscular spasticity	0.1891441976771214
AOC1	WB 4101	Not Approved	""	0.1621235980089612
AOC1	CLOZAPINE	Approved	Antipsychotic Agents	0.02339928218686039
AOC1	BRL 44408	Not Approved	""	0.3782883953542429
AOC1	XYLAZINE	Not Approved	""	0.3782883953542429
AOC1	[3H]MK-912	Not Approved	""	0.3782883953542429
AOC1	ROXINDOLE	Not Approved	""	0.0756576790708486
AOC1	MIRTAZAPINE	Approved	antidepressant	0.05674325930313644
AOC1	RS79948	Not Approved	""	0.3782883953542429
AOC1	YOHIMBINE	Approved	Mydriatics; Anti-impotence Agents	0.06675677565074875
AOC1	AMITRIPTYLINE HYDROCHLORIDE	Approved	analgesic	0.05043845271389906
AOC1	MOXONIDINE	Approved	""	0.1621235980089612
AOC1	LOFEXIDINE	Approved	for treatment of opiate withdrawal	0.1621235980089612
AOC1	DEXMEDETOMIDINE HYDROCHLORIDE	Approved	Analgesics; Hypnotics and Sedatives	0.103169562369339
AOC1	CLONIDINE HYDROCHLORIDE	Approved	antimucositic,for treatment of ADHD,for treatment of diabetic neuropathy	0.0872973220048253
AOC1	PHENOXYBENZAMINE	Approved	Anticonvulsants; Hypnotics and Sedatives	0.103169562369339
AOC1	TERGURIDE	Not Approved	for treatment of pulmonary arterial hypertension	0.0756576790708486
AOC1	GUANABENZ	Approved	Antihypertensive Agents	0.2269730372125457
AOC1	PROXIBARBAL	Approved	""	0.5674325930313644
AOC1	ARC-239	Not Approved	""	0.3782883953542429
AOC1	[125I]P-IODOCLONIDINE	Not Approved	""	0.3782883953542429
AOC1	PERGOLIDE	Approved	Antiparkinson Agents	0.06675677565074875
AOC1	BROMOCRIPTINE	Approved	antidiabetic	0.03660855438912028
AOC1	PRAZOSIN	Approved	Antihypertensive Agents; antispasmodics	0.0756576790708486
AOC1	CANNABIDIOL	Approved	""	0.2837162965156822
AOC1	APOMORPHINE	Approved	antiparkinson agent,for treatment of erectile dysfunction,for treatment of sexual dysfunction in women	0.04203204392824922
AOC1	NOREPINEPHRINE	Approved	Antihypotensive Agents; Vasoconstrictor Agents	0.03546453706446027
GGCX	VITAMIN K	Approved	Antifibrinolytic Agents	3.480253237259035
GGCX	ZAVONDEMSTAT	Not Approved	""	5.220379855888553
GGCX	VITAMIN K3	Approved	for reducing EGFR-inhibitor-induced dermatological side effects	0.7200523939156624
GGCX	IOX1	Not Approved	""	2.610189927944276
GGCX	ANISINDIONE	Approved	Anticoagulants	5.220379855888553
KCNC1	NERISPIRDINE	Not Approved	""	0.1740126618629517
KCNC1	DALFAMPRIDINE	Approved	MS-treatment	0.1812631894405747
KCNC1	AMIFAMPRIDINE PHOSPHATE	Approved	""	0.2122105632475021
KCNC1	TEDISAMIL	Not Approved	""	0.2175158273286897
KCNC1	AMIFAMPRIDINE	Approved	""	0.2071579307892282
KCNC1	GUANIDINE HYDROCHLORIDE	Approved	""	0.2122105632475021
VKORC1	VITAMIN K3	Approved	for reducing EGFR-inhibitor-induced dermatological side effects	0.3600261969578312
VKORC1	PHENINDIONE	Approved	Anticoagulants	6.960506474518071
VKORC1	WARFARIN	Approved	Anticoagulants	0.6327733158652792
VKORC1	DICUMAROL	Approved	Anticoagulants	2.610189927944276
VKORC1	ACENOCOUMAROL	Approved	Anticoagulants	4.176303884710842
VKORC1	PHENPROCOUMON	Approved	Anticoagulants	3.480253237259035
VKORC1	WARFARIN SODIUM	Approved	""	5.220379855888553
VKORC1	WARFARIN POTASSIUM	Approved	""	2.610189927944276
VKORC1	FLUINDIONE	Not Approved	""	15.66113956766565
VKORC1	TECARFARIN	Not Approved	antithrombotic	15.66113956766565
GLUD1	COMPOUND 13B [PMID: 19101153]	Not Approved	""	52.20379855888553
APEX1	METHACYCLINE HYDROCHLORIDE	Approved	""	0.01873790328746788
APEX1	MINOCYCLINE HYDROCHLORIDE	Approved	""	0.0655826615061376
APEX1	TETRAIDOFLUORESCEIN	Not Approved	""	0.02914784955828337
APEX1	CATECHIN	Approved	""	0.02017928046342695
APEX1	ASCORBYL PALMITATE	Not Approved	""	0.1311653230122752
