gene	drug	regulatory approval	indication	interaction score
NFATC1	MYCOPHENOLATE	Approved	immunosuppressant	1.186449967247398
NFATC1	CYCLOSPORINE	Approved	immunosuppressant,opthalmological agent	0.450032746197289
NFATC1	METHOTREXATE	Approved	DMARD	0.2372899934494797
NFATC1	PREDNISONE	Approved	corticosteroid,antiinflammatory agent	0.5800422062098393
POSTN	ANTISERUM	Not Approved	""	2.983074203364888
CRYGD	DOXAPRAM	Approved	""	26.10189927944276
CRYGD	HE3235	Not Approved	antineoplastic agent	13.05094963972138
IHH	RECOMBINANT TRANSFORMING GROWTH FACTOR-BETA 1	Not Approved	""	4.971790338941479
SOST	AMG-167	Not Approved	""	6.525474819860691
SOST	SETRUSUMAB	Not Approved	""	6.525474819860691
SOST	SETRUSUMAB	Not Approved	""	6.525474819860691
SOST	ROMOSOZUMAB	Approved	""	13.05094963972138
SOST	ALENDRONATE SODIUM	Approved	Bisphosphonates	1.087579136643448
SOST	ANTI-SCLEROSTIN	Not Approved	""	6.525474819860691
SOST	BLOSOZUMAB	Not Approved	""	6.525474819860691
SOST	BLOSOZUMAB	Not Approved	""	6.525474819860691
SUFU	SONIDEGIB	Approved	antineoplastic agent	8.700633093147589
SLC7A11	RILUZOLE	Approved	for treatment of ALS	2.269730372125458
CDK4	RIBOCICLIB	Approved	antineoplastic agent	0.3625263788811495
CDK4	R547	Not Approved	""	0.2330526721378818
CDK4	PALBOCICLIB	Approved	""	0.1919257299959026
CDK4	RECOMBINANT TRANSFORMING GROWTH FACTOR	Not Approved	""	0.0741531229529624
CDK4	ATIRMOCICLIB	Not Approved	""	0.4078421762412932
CDK4	VORUCICLIB	Not Approved	""	0.1631368704965173
CDK4	SOMATROPIN (RECOMBINANT DNA ORIGIN)	Approved	growth hormone replacement therapy,hormone replacement,for treatment of spinal muscular atrophy,For treatment of growth disorders	0.1087579136643448
CDK4	TANESPIMYCIN	Not Approved	antineoplastic agent	0.1254899003819364
CDK4	SU9516	Not Approved	""	0.05098027203016165
CDK4	BSJ-03-123	Not Approved	""	0.4078421762412932
CDK4	CP-10	Not Approved	""	0.4078421762412932
CDK4	RO-0505124	Not Approved	""	1.223526528723879
CDK4	ALVOCIDIB	Not Approved	antineoplastic agent	0.1942105601149015
CDK4	MKC-1	Not Approved	antineoplastic agent	0.0741531229529624
CDK4	RIVICICLIB	Not Approved	""	0.4894106114895518
CDK4	NARAZACICLIB	Not Approved	""	0.2718947841608621
CDK4	MILCICLIB	Not Approved	""	0.1483062459059248
CDK4	ABEMACICLIB	Approved	""	0.3005152877567423
CDK4	CDK4 INHIBITOR III	Not Approved	""	0.2718947841608621
CDK4	BSJ-04-132	Not Approved	""	0.4078421762412932
CDK4	CDK1/2/4 INHIBITOR AG-024322	Not Approved	""	0.2718947841608621
CDK4	RONICICLIB	Not Approved	""	0.1165263360689409
CDK4	CGP74514A	Not Approved	""	0.1019605440603233
CDK4	TRILACICLIB	Approved	""	0.3495790082068228
CDK4	PHA-793887	Not Approved	""	0.0776842240459606
CDK4	FASCAPLYSIN	Not Approved	""	0.8156843524825864
