node_id;label;type;degree
@DISEASE_Neoplasms;@DISEASE_Neoplasms;disease;4464.0
@DISEASE_Inflammation;@DISEASE_Inflammation;disease;3612.0
@DISEASE_Carcinoma_Hepatocellular;@DISEASE_Carcinoma_Hepatocellular;disease;1699.0
@DISEASE_Colorectal_Neoplasms;@DISEASE_Colorectal_Neoplasms;disease;1223.0
@DISEASE_Breast_Neoplasms;@DISEASE_Breast_Neoplasms;disease;1143.0
@DISEASE_Fibrosis;@DISEASE_Fibrosis;disease;1070.0
@DISEASE_Carcinoma_Renal_Cell;@DISEASE_Carcinoma_Renal_Cell;disease;1054.0
@DISEASE_Neoplasm_Metastasis;@DISEASE_Neoplasm_Metastasis;disease;975.0
@DISEASE_Glioma;@DISEASE_Glioma;disease;893.0
@DISEASE_Diabetes_Mellitus;@DISEASE_Diabetes_Mellitus;disease;875.0
@DISEASE_Cholangiocarcinoma;@DISEASE_Cholangiocarcinoma;disease;855.0
@DISEASE_Glioblastoma;@DISEASE_Glioblastoma;disease;851.0
@DISEASE_Liver_Failure;@DISEASE_Liver_Failure;disease;806.0
@DISEASE_Infections;@DISEASE_Infections;disease;803.0
@DISEASE_Kidney_Diseases;@DISEASE_Kidney_Diseases;disease;800.0
@DISEASE_Arthritis_Rheumatoid;@DISEASE_Arthritis_Rheumatoid;disease;778.0
@DISEASE_Endometrial_Neoplasms;@DISEASE_Endometrial_Neoplasms;disease;742.0
@DISEASE_Obesity;@DISEASE_Obesity;disease;720.0
@DISEASE_Alzheimer_Disease;@DISEASE_Alzheimer_Disease;disease;714.0
@DISEASE_Fatty_Liver;@DISEASE_Fatty_Liver;disease;713.0
@DISEASE_Mitochondrial_Diseases;@DISEASE_Mitochondrial_Diseases;disease;689.0
@DISEASE_Chemical_and_Drug_Induced_Liver_Injury;@DISEASE_Chemical_and_Drug_Induced_Liver_Injury;disease;681.0
@DISEASE_Osteoarthritis;@DISEASE_Osteoarthritis;disease;677.0
@DISEASE_Liver_Diseases;@DISEASE_Liver_Diseases;disease;626.0
@DISEASE_Diabetes_Mellitus_Type_2;@DISEASE_Diabetes_Mellitus_Type_2;disease;603.0
@DISEASE_Thyroid_Cancer_Papillary;@DISEASE_Thyroid_Cancer_Papillary;disease;592.0
@DISEASE_Osteoporosis;@DISEASE_Osteoporosis;disease;578.0
@DISEASE_Depressive_Disorder;@DISEASE_Depressive_Disorder;disease;577.0
@DISEASE_Bone_Diseases;@DISEASE_Bone_Diseases;disease;560.0
@DISEASE_Carcinogenesis;@DISEASE_Carcinogenesis;disease;560.0
@DISEASE_Stomach_Neoplasms;@DISEASE_Stomach_Neoplasms;disease;555.0
@DISEASE_Lung_Neoplasms;@DISEASE_Lung_Neoplasms;disease;539.0
@DISEASE_Parkinson_Disease;@DISEASE_Parkinson_Disease;disease;535.0
@DISEASE_Hypoxia;@DISEASE_Hypoxia;disease;529.0
@DISEASE_Melanoma;@DISEASE_Melanoma;disease;518.0
@DISEASE_Cognition_Disorders;@DISEASE_Cognition_Disorders;disease;515.0
@DISEASE_Renal_Insufficiency_Chronic;@DISEASE_Renal_Insufficiency_Chronic;disease;510.0
@DISEASE_Non_alcoholic_Fatty_Liver_Disease;@DISEASE_Non_alcoholic_Fatty_Liver_Disease;disease;506.0
@DISEASE_Metabolic_Diseases;@DISEASE_Metabolic_Diseases;disease;503.0
@DISEASE_Acute_Kidney_Injury;@DISEASE_Acute_Kidney_Injury;disease;497.0
@DISEASE_Pulmonary_Fibrosis;@DISEASE_Pulmonary_Fibrosis;disease;490.0
@DISEASE_Cardiovascular_Diseases;@DISEASE_Cardiovascular_Diseases;disease;487.0
@DISEASE_Liver_Cirrhosis;@DISEASE_Liver_Cirrhosis;disease;477.0
@DISEASE_Neurodegenerative_Diseases;@DISEASE_Neurodegenerative_Diseases;disease;465.0
@DISEASE_Colitis_Ulcerative;@DISEASE_Colitis_Ulcerative;disease;455.0
@DISEASE_Neuroinflammatory_Diseases;@DISEASE_Neuroinflammatory_Diseases;disease;444.0
@DISEASE_Prostatic_Neoplasms;@DISEASE_Prostatic_Neoplasms;disease;443.0
@DISEASE_Ovarian_Neoplasms;@DISEASE_Ovarian_Neoplasms;disease;441.0
@DISEASE_Colitis;@DISEASE_Colitis;disease;427.0
@DISEASE_Heart_Diseases;@DISEASE_Heart_Diseases;disease;424.0
@DISEASE_Nerve_Degeneration;@DISEASE_Nerve_Degeneration;disease;424.0
@DISEASE_Spondylitis_Ankylosing;@DISEASE_Spondylitis_Ankylosing;disease;424.0
@DISEASE_Hypertension;@DISEASE_Hypertension;disease;420.0
@DISEASE_Carcinoma_Non_Small_Cell_Lung;@DISEASE_Carcinoma_Non_Small_Cell_Lung;disease;419.0
@DISEASE_Neurotoxicity_Syndromes;@DISEASE_Neurotoxicity_Syndromes;disease;417.0
@DISEASE_Squamous_Cell_Carcinoma_of_Head_and_Neck;@DISEASE_Squamous_Cell_Carcinoma_of_Head_and_Neck;disease;398.0
@DISEASE_Adenocarcinoma_of_Lung;@DISEASE_Adenocarcinoma_of_Lung;disease;394.0
@DISEASE_Vitiligo;@DISEASE_Vitiligo;disease;386.0
@DISEASE_Atherosclerosis;@DISEASE_Atherosclerosis;disease;378.0
@DISEASE_Heart_Failure;@DISEASE_Heart_Failure;disease;373.0
@DISEASE_Skin_Diseases;@DISEASE_Skin_Diseases;disease;368.0
@DISEASE_Triple_Negative_Breast_Neoplasms;@DISEASE_Triple_Negative_Breast_Neoplasms;disease;365.0
@DISEASE_Idiopathic_Pulmonary_Fibrosis;@DISEASE_Idiopathic_Pulmonary_Fibrosis;disease;351.0
@DISEASE_Polycystic_Ovary_Syndrome;@DISEASE_Polycystic_Ovary_Syndrome;disease;349.0
@DISEASE_Reperfusion_Injury;@DISEASE_Reperfusion_Injury;disease;345.0
@DISEASE_Diabetic_Nephropathies;@DISEASE_Diabetic_Nephropathies;disease;344.0
@DISEASE_Pancreatic_Neoplasms;@DISEASE_Pancreatic_Neoplasms;disease;341.0
@DISEASE_Cataract;@DISEASE_Cataract;disease;340.0
@DISEASE_Insulin_Resistance;@DISEASE_Insulin_Resistance;disease;339.0
@DISEASE_Sepsis;@DISEASE_Sepsis;disease;330.0
@DISEASE_Adenocarcinoma;@DISEASE_Adenocarcinoma;disease;320.0
@DISEASE_Thyroid_Neoplasms;@DISEASE_Thyroid_Neoplasms;disease;318.0
@DISEASE_Psoriasis;@DISEASE_Psoriasis;disease;314.0
@DISEASE_Neurologic_Manifestations;@DISEASE_Neurologic_Manifestations;disease;313.0
@DISEASE_Lung_Diseases;@DISEASE_Lung_Diseases;disease;292.0
@DISEASE_Lung_Diseases_Interstitial;@DISEASE_Lung_Diseases_Interstitial;disease;291.0
@DISEASE_Inflammatory_Bowel_Diseases;@DISEASE_Inflammatory_Bowel_Diseases;disease;290.0
@DISEASE_Edema;@DISEASE_Edema;disease;288.0
@DISEASE_Mental_Disorders;@DISEASE_Mental_Disorders;disease;288.0
@DISEASE_Leukemia_Myeloid_Acute;@DISEASE_Leukemia_Myeloid_Acute;disease;285.0
@DISEASE_Osteosarcoma;@DISEASE_Osteosarcoma;disease;280.0
@DISEASE_Weight_Loss;@DISEASE_Weight_Loss;disease;278.0
@DISEASE_Myocardial_Infarction;@DISEASE_Myocardial_Infarction;disease;273.0
@DISEASE_Cerebral_Infarction;@DISEASE_Cerebral_Infarction;disease;271.0
@DISEASE_Arthritis;@DISEASE_Arthritis;disease;266.0
@DISEASE_Pneumonia;@DISEASE_Pneumonia;disease;262.0
@DISEASE_Asthma;@DISEASE_Asthma;disease;260.0
@DISEASE_Ischemia;@DISEASE_Ischemia;disease;259.0
@DISEASE_Hyperuricemia;@DISEASE_Hyperuricemia;disease;258.0
@DISEASE_Seizures;@DISEASE_Seizures;disease;257.0
@DISEASE_Uterine_Cervical_Neoplasms;@DISEASE_Uterine_Cervical_Neoplasms;disease;257.0
@DISEASE_Lymphoma_Non_Hodgkin;@DISEASE_Lymphoma_Non_Hodgkin;disease;255.0
@DISEASE_Atrial_Fibrillation;@DISEASE_Atrial_Fibrillation;disease;254.0
@DISEASE_Precancerous_Conditions;@DISEASE_Precancerous_Conditions;disease;254.0
@DISEASE_Urinary_Bladder_Neoplasms;@DISEASE_Urinary_Bladder_Neoplasms;disease;252.0
@DISEASE_Diabetes_Mellitus_Type_1;@DISEASE_Diabetes_Mellitus_Type_1;disease;247.0
@DISEASE_Drug_Hypersensitivity;@DISEASE_Drug_Hypersensitivity;disease;246.0
@DISEASE_Azoospermia;@DISEASE_Azoospermia;disease;244.0
@DISEASE_Kidney_Calculi;@DISEASE_Kidney_Calculi;disease;242.0
@DISEASE_Liver_Failure_Acute;@DISEASE_Liver_Failure_Acute;disease;242.0
@DISEASE_Necrosis;@DISEASE_Necrosis;disease;241.0
@DISEASE_Schizophrenia;@DISEASE_Schizophrenia;disease;241.0
@DISEASE_Multiple_Sclerosis;@DISEASE_Multiple_Sclerosis;disease;240.0
@DISEASE_Periodontitis;@DISEASE_Periodontitis;disease;233.0
@DISEASE_Metabolic_Syndrome;@DISEASE_Metabolic_Syndrome;disease;231.0
@DISEASE_Stroke;@DISEASE_Stroke;disease;229.0
