entity1,entity2,relation_type
@DISEASE_Alkaptonuria,@CHEMICAL_Homogentisic_Acid,multitype
@DISEASE_Alkaptonuria,@GENE_HGD,multitype
@DISEASE_Alkaptonuria,@CHEMICAL_Phenylalanine,multitype
@DISEASE_Alkaptonuria,@CHEMICAL_Tyrosine,Negative_Correlation
@DISEASE_Alkaptonuria,@CHEMICAL_nitisinone,multitype
@DISEASE_Alkaptonuria,@CHEMICAL_Ascorbic_Acid,multitype
@DISEASE_Alkaptonuria,@CHEMICAL_Acetylcysteine,Negative_Correlation
@DISEASE_Alkaptonuria,@GENE_SAA@,Association
@DISEASE_Alkaptonuria,@GENE_HPD,Association
@CHEMICAL_Homogentisic_Acid,@CHEMICAL_Tocotrienols,multitype
@CHEMICAL_Homogentisic_Acid,@GENE_HPD,multitype
@CHEMICAL_Homogentisic_Acid,@CHEMICAL_4_hydroxyphenylpyruvic_acid,Association
@CHEMICAL_Homogentisic_Acid,@CHEMICAL_Tyrosine,multitype
@CHEMICAL_Homogentisic_Acid,@CHEMICAL_pyomelanin,multitype
@CHEMICAL_Homogentisic_Acid,@DISEASE_Arthritis,multitype
@CHEMICAL_Homogentisic_Acid,@GENE_HGD,multitype
@CHEMICAL_Homogentisic_Acid,@DISEASE_Pigmentation_Disorders,multitype
@CHEMICAL_Homogentisic_Acid,@CHEMICAL_Ascorbic_Acid,multitype
@CHEMICAL_Homogentisic_Acid,@CHEMICAL_Melanins,multitype
@CHEMICAL_Homogentisic_Acid,@DISEASE_AA_amyloidosis,Positive_Correlation
@CHEMICAL_Homogentisic_Acid,@GENE_PDS1,Association
@CHEMICAL_Homogentisic_Acid,@CHEMICAL_Amino_Acids_Aromatic,multitype
@CHEMICAL_Homogentisic_Acid,@DISEASE_Ochronosis,multitype
@CHEMICAL_Homogentisic_Acid,@CHEMICAL_nitisinone,multitype
@CHEMICAL_Homogentisic_Acid,@GENE_SAA@,multitype
@CHEMICAL_Homogentisic_Acid,@DISEASE_Nerve_Degeneration,Positive_Correlation
@CHEMICAL_Homogentisic_Acid,@DISEASE_Diabetes_Mellitus,multitype
@CHEMICAL_Homogentisic_Acid,@CHEMICAL_succinylacetone,multitype
@CHEMICAL_Homogentisic_Acid,@CHEMICAL_geranylgeranyl_pyrophosphate,Association
@CHEMICAL_Homogentisic_Acid,@GENE_HPT1,Association
@CHEMICAL_Homogentisic_Acid,@DISEASE_Tyrosinemias,multitype
@CHEMICAL_Homogentisic_Acid,@DISEASE_Osteoarthritis,Positive_Correlation
@CHEMICAL_Homogentisic_Acid,@DISEASE_Alkaptonuric_ochronosis,multitype
@CHEMICAL_Homogentisic_Acid,@CHEMICAL_Tocopherols,multitype
@CHEMICAL_Homogentisic_Acid,@CHEMICAL_phenylacetic_acid,Association
@CHEMICAL_Homogentisic_Acid,@CHEMICAL_Phenylalanine,multitype
@CHEMICAL_Homogentisic_Acid,@DISEASE_Inflammation,multitype
@CHEMICAL_Homogentisic_Acid,@DISEASE_Heart_Diseases,Positive_Correlation
@CHEMICAL_Homogentisic_Acid,@CHEMICAL_Plastoquinone,multitype
@CHEMICAL_Homogentisic_Acid,@CHEMICAL_quinone,multitype
@CHEMICAL_Homogentisic_Acid,@DISEASE_Fanconi_Syndrome,Positive_Correlation
@CHEMICAL_Homogentisic_Acid,@GENE_FAH,Association
@CHEMICAL_Homogentisic_Acid,@DISEASE_Tendinopathy,multitype
@CHEMICAL_Homogentisic_Acid,@DISEASE_Cartilage_Diseases,multitype
@CHEMICAL_Homogentisic_Acid,@DISEASE_Osteoarthropathy_Primary_Hypertrophic,Positive_Correlation
@CHEMICAL_Homogentisic_Acid,@CHEMICAL_Reactive_Oxygen_Species,multitype
@CHEMICAL_Homogentisic_Acid,@CHEMICAL_Vitamin_E,Association
@CHEMICAL_Homogentisic_Acid,@CHEMICAL_Hydrogen_Peroxide,multitype
@CHEMICAL_Homogentisic_Acid,@DISEASE_Heart_Valve_Diseases,Positive_Correlation
@CHEMICAL_Homogentisic_Acid,@DISEASE_Metabolic_Diseases,multitype
@CHEMICAL_Homogentisic_Acid,@CHEMICAL_Creatinine,Association
@CHEMICAL_Homogentisic_Acid,@DISEASE_Hemolysis,Positive_Correlation
@CHEMICAL_Homogentisic_Acid,@DISEASE_Joint_Diseases,Positive_Correlation
@CHEMICAL_Homogentisic_Acid,@DISEASE_Neurodegenerative_Diseases,Positive_Correlation
@CHEMICAL_Homogentisic_Acid,@CHEMICAL_phytyl_diphosphate,Association
