name;id;mesh_id;level;AKU_relevance
@DISEASE_3_Methylglutaconic_Aciduria;C579867;;;not relevant
@DISEASE_AA_amyloidosis;C000718787;;;relevant
@DISEASE_Aberrant_Crypt_Foci;D058739;D058739;3.0;not relevant
@DISEASE_Acidemia_isovaleric;C538167;;;not relevant
@DISEASE_Acidosis_Lactic;D000140;D000140;5.0;not relevant
@DISEASE_Acidosis_Renal_Tubular;D000141;D000141;4.0;relevant
@DISEASE_Acidosis_Renal_Tubular;D000141;D000141;5.0;relevant
@DISEASE_Acidosis_Renal_Tubular;D000141;D000141;5.0;relevant
@DISEASE_Acidosis_Renal_Tubular;D000141;D000141;6.0;relevant
@DISEASE_Acidosis_Renal_Tubular;D000141;D000141;7.0;relevant
@DISEASE_Acro_Osteolysis;D030981;D030981;4.0;not relevant
@DISEASE_Acro_Osteolysis;D030981;D030981;5.0;not relevant
@DISEASE_Acrocephalosyndactylia;D000168;D000168;5.0;not relevant
@DISEASE_Acrocephalosyndactylia;D000168;D000168;5.0;not relevant
@DISEASE_Acrocephalosyndactylia;D000168;D000168;5.0;not relevant
@DISEASE_Acrocephalosyndactylia;D000168;D000168;5.0;not relevant
@DISEASE_Acrocephalosyndactylia;D000168;D000168;6.0;not relevant
@DISEASE_Acrocephalosyndactylia;D000168;D000168;6.0;not relevant
@DISEASE_Acrocephalosyndactylia;D000168;D000168;6.0;not relevant
@DISEASE_Acrocephalosyndactylia;D000168;D000168;6.0;not relevant
@DISEASE_Acrocephalosyndactylia;D000168;D000168;7.0;not relevant
@DISEASE_Acrocephalosyndactylia;D000168;D000168;7.0;not relevant
@DISEASE_Acrofacial_dysostosis_Nager_type;C538184;;;not relevant
@DISEASE_Acromegaly;D000172;D000172;4.0;not relevant
@DISEASE_Acromegaly;D000172;D000172;4.0;not relevant
@DISEASE_Acromegaly;D000172;D000172;7.0;not relevant
@DISEASE_Acute_erythroleukemia;C535673;;;not relevant
@DISEASE_Adenocarcinoma;D000230;D000230;5.0;not relevant
@DISEASE_Adenocarcinoma_Mucinous;D002288;D002288;5.0;not relevant
@DISEASE_Adenocarcinoma_Mucinous;D002288;D002288;6.0;not relevant
@DISEASE_Adenocarcinoma_of_Lung;D000077192;D000077192;6.0;not relevant
@DISEASE_Adenocarcinoma_of_Lung;D000077192;D000077192;6.0;not relevant
@DISEASE_Adenoma_Liver_Cell;D018248;D018248;4.0;not relevant
@DISEASE_Adenoma_Liver_Cell;D018248;D018248;4.0;not relevant
@DISEASE_Adenoma_Liver_Cell;D018248;D018248;5.0;not relevant
@DISEASE_Adenoma_Liver_Cell;D018248;D018248;5.0;not relevant
@DISEASE_Adrenal_Hyperplasia_Congenital;D000312;D000312;3.0;relevant
@DISEASE_Adrenal_Hyperplasia_Congenital;D000312;D000312;3.0;relevant
@DISEASE_Adrenal_Hyperplasia_Congenital;D000312;D000312;5.0;relevant
@DISEASE_Adrenal_Hyperplasia_Congenital;D000312;D000312;5.0;relevant
@DISEASE_Adrenal_Hyperplasia_Congenital;D000312;D000312;5.0;relevant
@DISEASE_Adrenal_Hyperplasia_Congenital;D000312;D000312;5.0;relevant
@DISEASE_Adrenal_Hyperplasia_Congenital;D000312;D000312;6.0;relevant
@DISEASE_Adrenal_Hyperplasia_Congenital;D000312;D000312;6.0;relevant
@DISEASE_Adrenal_Hyperplasia_Congenital;D000312;D000312;7.0;relevant
@DISEASE_Adrenal_Insufficiency;D000309;D000309;3.0;relevant
@DISEASE_Adrenocortical_Carcinoma;D018268;D018268;5.0;not relevant
@DISEASE_Adrenocortical_Carcinoma;D018268;D018268;5.0;not relevant
@DISEASE_Adrenocortical_Carcinoma;D018268;D018268;5.0;not relevant
@DISEASE_Adrenocortical_Carcinoma;D018268;D018268;6.0;not relevant
@DISEASE_Adrenocortical_Carcinoma;D018268;D018268;6.0;not relevant
@DISEASE_Afibrinogenemia;D000347;D000347;4.0;not relevant
@DISEASE_Afibrinogenemia;D000347;D000347;4.0;not relevant
@DISEASE_Afibrinogenemia;D000347;D000347;5.0;not relevant
@DISEASE_Afibrinogenemia;D000347;D000347;5.0;not relevant
@DISEASE_Agenesis_of_Cerebellar_Vermis;C536293;;;not relevant
@DISEASE_Aging_Premature;D019588;D019588;3.0;not relevant
@DISEASE_Airway_Obstruction;D000402;D000402;4.0;not relevant
@DISEASE_Airway_Remodeling;D056151;D056151;3.0;not relevant
@DISEASE_Airway_Remodeling;D056151;D056151;3.0;not relevant
@DISEASE_Albuminuria;D000419;D000419;5.0;not relevant
@DISEASE_Albuminuria;D000419;D000419;5.0;not relevant
@DISEASE_Albuminuria;D000419;D000419;6.0;not relevant
@DISEASE_Albuminuria;D000419;D000419;7.0;not relevant
@DISEASE_Alkaptonuria;D000474;D000474;5.0;relevant
@DISEASE_Alkaptonuria;D000474;D000474;5.0;relevant
@DISEASE_Alkaptonuric_ochronosis;C531762;;;relevant
@DISEASE_Allergic_Fungal_Sinusitis;D000092562;D000092562;3.0;not relevant
@DISEASE_Allergic_Fungal_Sinusitis;D000092562;D000092562;3.0;not relevant
@DISEASE_Allergic_Fungal_Sinusitis;D000092562;D000092562;3.0;not relevant
@DISEASE_Allergic_Fungal_Sinusitis;D000092562;D000092562;4.0;not relevant
@DISEASE_Allergic_Fungal_Sinusitis;D000092562;D000092562;4.0;not relevant
@DISEASE_Allergic_Fungal_Sinusitis;D000092562;D000092562;4.0;not relevant
@DISEASE_Allergic_Fungal_Sinusitis;D000092562;D000092562;5.0;not relevant
@DISEASE_Allergic_Fungal_Sinusitis;D000092562;D000092562;5.0;not relevant
@DISEASE_Allergic_Fungal_Sinusitis;D000092562;D000092562;5.0;not relevant
@DISEASE_Alveolar_Bone_Loss;D016301;D016301;4.0;relevant
@DISEASE_Alveolar_Bone_Loss;D016301;D016301;5.0;relevant
@DISEASE_Alzheimer_Disease;D000544;D000544;4.0;not relevant
