Source,Target,Color
@GENE_ABL1,@GENE_RB1,blue
@GENE_ABL1,@GENE_EGFR,blue
@GENE_ABL1,@GENE_NTRK2,blue
@GENE_ABL1,@GENE_ATM,blue
@GENE_ABL1,@GENE_STAT5A,blue
@GENE_ABL1,@GENE_FN1,blue
@GENE_ABL1,@GENE_RUNX2,blue
@GENE_ABL1,@GENE_PIK3R1,blue
@GENE_ABL1,@GENE_YAP1,blue
@GENE_ABL1,@GENE_CTNNB1,blue
@GENE_ABL1,@GENE_BRCA1,blue
@GENE_ABL1,@GENE_NTRK1,blue
@GENE_ABL1,@GENE_SH3BP2,red
@GENE_RB1,@GENE_AHR,blue
@GENE_RB1,@GENE_AR,blue
@GENE_RB1,@GENE_BGLAP,blue
@GENE_RB1,@GENE_BRCA1,blue
@GENE_RB1,@GENE_CCND1,blue
@GENE_RB1,@GENE_CDK4,blue
@GENE_RB1,@GENE_COL1A1,blue
@GENE_RB1,@GENE_MAPK14,blue
@GENE_RB1,@GENE_MDM2,blue
@GENE_RB1,@GENE_PBRM1,blue
@GENE_RB1,@GENE_SIRT1,blue
@GENE_RB1,@GENE_SMARCB1,blue
@GENE_RB1,@GENE_RUNX2,blue
@GENE_RB1,@GENE_AKT1,red
@GENE_EGFR,@GENE_CD44,blue
@GENE_EGFR,@GENE_CTNNB1,blue
@GENE_EGFR,@GENE_KRAS,blue
@GENE_EGFR,@GENE_PDGFRA,blue
@GENE_EGFR,@GENE_PIK3CA,blue
@GENE_EGFR,@GENE_STAT3,blue
@GENE_EGFR,@GENE_ERBB2,blue
@GENE_EGFR,@GENE_RET,blue
@GENE_EGFR,@GENE_SOCS3,blue
@GENE_EGFR,@GENE_VAV1,blue
@GENE_EGFR,@GENE_IRS1,blue
@GENE_EGFR,@GENE_FOS,blue
@GENE_EGFR,@GENE_STAT1,blue
@GENE_EGFR,@GENE_JAK2,blue
@GENE_EGFR,@GENE_NRAS,blue
@GENE_EGFR,@GENE_IGF1,blue
@GENE_EGFR,@GENE_INS,blue
@GENE_EGFR,@GENE_PLCG2,blue
@GENE_EGFR,@GENE_PIK3CB,blue
@GENE_EGFR,@GENE_HRAS,blue
@GENE_EGFR,@GENE_PIK3R1,blue
@GENE_EGFR,@GENE_STAT5A,blue
@GENE_EGFR,@GENE_PTPN11,blue
@GENE_EGFR,@GENE_SOS1,blue
@GENE_EGFR,@GENE_MUC1,blue
@GENE_EGFR,@GENE_SRC,blue
@GENE_EGFR,@GENE_PTK2,blue
@GENE_EGFR,@GENE_YAP1,red
@GENE_EGFR,@GENE_CD274,red
@GENE_EGFR,@GENE_AKT1,red
@GENE_NTRK2,@GENE_ADORA2A,blue
@GENE_NTRK2,@GENE_BDNF,green
@GENE_NTRK2,@GENE_IRS1,blue
@GENE_NTRK2,@GENE_SRC,blue
@GENE_NTRK2,@GENE_PLCG2,blue
@GENE_ATM,@GENE_CDK4,blue
@GENE_ATM,@GENE_MDM2,blue
@GENE_ATM,@GENE_TP53,blue
@GENE_ATM,@GENE_BRCA2,blue
@GENE_ATM,@GENE_BRCA1,blue
@GENE_ATM,@GENE_CHEK2,blue
@GENE_STAT5A,@GENE_CDKN1A,blue
@GENE_STAT5A,@GENE_IL2RA,blue
@GENE_STAT5A,@GENE_JAK2,blue
@GENE_STAT5A,@GENE_KIT,blue
@GENE_STAT5A,@GENE_PTPN11,blue
@GENE_STAT5A,@GENE_STAT1,blue
@GENE_STAT5A,@GENE_STAT3,blue
@GENE_STAT5A,@GENE_CSF2,red
@GENE_FN1,@GENE_CD44,blue
@GENE_FN1,@GENE_ESR1,blue
@GENE_FN1,@GENE_VHL,blue
@GENE_FN1,@GENE_STAT3,blue
@GENE_FN1,@GENE_LCN2,blue
@GENE_FN1,@GENE_PTK2,red
@GENE_RUNX2,@GENE_AR,blue
@GENE_RUNX2,@GENE_BAX,blue
@GENE_RUNX2,@GENE_BGLAP,blue
@GENE_RUNX2,@GENE_BMP2,blue
@GENE_RUNX2,@GENE_COL1A1,blue
@GENE_RUNX2,@GENE_ESR1,blue
@GENE_RUNX2,@GENE_FOS,blue
@GENE_RUNX2,@GENE_GLI2,blue
@GENE_RUNX2,@GENE_GSK3B,blue
@GENE_RUNX2,@GENE_HDAC4,blue
@GENE_RUNX2,@GENE_IHH,blue
@GENE_RUNX2,@GENE_MMP13,blue
@GENE_RUNX2,@GENE_NR3C1,blue
@GENE_RUNX2,@GENE_PPARGC1A,blue
@GENE_RUNX2,@GENE_STAT1,blue
@GENE_RUNX2,@GENE_YAP1,blue
@GENE_RUNX2,@GENE_SOST,red
@GENE_RUNX2,@GENE_PTH,red
@GENE_PIK3R1,@GENE_AKT1,green
@GENE_PIK3R1,@GENE_ALK,blue
@GENE_PIK3R1,@GENE_CD28,blue
@GENE_PIK3R1,@GENE_EML4,blue
@GENE_PIK3R1,@GENE_ERBB2,blue
@GENE_PIK3R1,@GENE_ESR1,blue
@GENE_PIK3R1,@GENE_FLT1,blue
@GENE_PIK3R1,@GENE_HRAS,blue
@GENE_PIK3R1,@GENE_IRS1,blue
@GENE_PIK3R1,@GENE_JAK2,blue
@GENE_PIK3R1,@GENE_KIT,blue
@GENE_PIK3R1,@GENE_KRAS,blue
@GENE_PIK3R1,@GENE_MTOR,blue
@GENE_PIK3R1,@GENE_NGFR,blue
@GENE_PIK3R1,@GENE_NRAS,blue
@GENE_PIK3R1,@GENE_NTRK1,blue
@GENE_PIK3R1,@GENE_PDGFRA,blue
@GENE_PIK3R1,@GENE_PIK3CA,blue
@GENE_PIK3R1,@GENE_PIK3CB,blue
@GENE_PIK3R1,@GENE_PTK2,blue
@GENE_PIK3R1,@GENE_RAC1,blue
@GENE_PIK3R1,@GENE_PTEN,blue
@GENE_PIK3R1,@GENE_SRC,blue
@GENE_PIK3R1,@GENE_TLR4,blue
@GENE_PIK3R1,@GENE_SYK,blue
@GENE_PIK3R1,@GENE_SOS1,blue
@GENE_PIK3R1,@GENE_PLCG2,blue
@GENE_PIK3R1,@GENE_VAV1,blue
@GENE_PIK3R1,@GENE_PTPN11,blue
@GENE_YAP1,@GENE_CTNNB1,blue
@GENE_YAP1,@GENE_LATS1,green
@GENE_YAP1,@GENE_SMAD2,blue
@GENE_YAP1,@GENE_SMAD3,blue
@GENE_YAP1,@GENE_SMAD4,blue
@GENE_YAP1,@GENE_SRC,blue
@GENE_YAP1,@GENE_TGFBR1,blue
@GENE_YAP1,@GENE_IL6,red
@GENE_YAP1,@GENE_PIEZO1,red
@GENE_YAP1,@GENE_AKT1,red
@GENE_CTNNB1,@GENE_AKT1,blue
@GENE_CTNNB1,@GENE_APC,green
@GENE_CTNNB1,@GENE_AR,blue
@GENE_CTNNB1,@GENE_AXIN1,green
@GENE_CTNNB1,@GENE_AXIN2,green
@GENE_CTNNB1,@GENE_CASP3,blue
@GENE_CTNNB1,@GENE_NFKB1,blue
@GENE_CTNNB1,@GENE_POU5F1,blue
@GENE_CTNNB1,@GENE_LRP6,blue
@GENE_CTNNB1,@GENE_SMAD2,blue
@GENE_CTNNB1,@GENE_ERBB2,blue
@GENE_CTNNB1,@GENE_PPARG,blue
@GENE_CTNNB1,@GENE_LRRK2,blue
@GENE_CTNNB1,@GENE_SOX2,blue
@GENE_CTNNB1,@GENE_GSK3B,green
@GENE_CTNNB1,@GENE_PSEN1,blue
@GENE_CTNNB1,@GENE_SMAD3,blue
@GENE_CTNNB1,@GENE_SRC,blue
@GENE_CTNNB1,@GENE_GCG,blue
@GENE_CTNNB1,@GENE_HIF1A,green
@GENE_CTNNB1,@GENE_MYC,blue
@GENE_CTNNB1,@GENE_MUC1,blue
@GENE_CTNNB1,@GENE_DKK1,red
@GENE_CTNNB1,@GENE_CD4,red
@GENE_CTNNB1,@GENE_TGFB1,red
@GENE_CTNNB1,@GENE_SOST,red
@GENE_CTNNB1,@GENE_WNT2,red
@GENE_CTNNB1,@GENE_TNKS,red
@GENE_CTNNB1,@GENE_TP53,red
@GENE_CTNNB1,@GENE_MMP2,red
@GENE_CTNNB1,@GENE_GLUL,red
@GENE_CTNNB1,@GENE_AHR,red
@GENE_CTNNB1,@GENE_WNT3A,red
@GENE_CTNNB1,@GENE_PTH,red
@GENE_CTNNB1,@GENE_TNFSF11,red
@GENE_CTNNB1,@GENE_CCND1,red
@GENE_BRCA1,@GENE_AKT1,blue
@GENE_BRCA1,@GENE_BARD1,blue
@GENE_BRCA1,@GENE_MLH1,blue
@GENE_BRCA1,@GENE_CDK4,blue
@GENE_BRCA1,@GENE_TP53,blue
@GENE_BRCA1,@GENE_BRCA2,blue
@GENE_BRCA1,@GENE_CHEK2,blue
@GENE_BRCA1,@GENE_ESR1,blue
@GENE_BRCA1,@GENE_MYC,blue
@GENE_NTRK1,@GENE_ADORA2A,blue
@GENE_NTRK1,@GENE_IRS1,blue
@GENE_NTRK1,@GENE_NGF,green
@GENE_NTRK1,@GENE_NGFR,blue
@GENE_NTRK1,@GENE_PIK3CA,blue
@GENE_NTRK1,@GENE_STAT3,blue
@GENE_NTRK1,@GENE_PLCG2,blue
@GENE_NTRK1,@GENE_PIK3CB,blue
@GENE_ACE2,@GENE_IL2,blue
@GENE_IL2,@GENE_FOXP3,blue
@GENE_IL2,@GENE_IL2RA,green
@GENE_IL2,@GENE_CD4,red
@GENE_IL2,@GENE_CD8A,red
@GENE_IL2,@GENE_CD274,red
@GENE_IL2,@GENE_IL4,red
@GENE_ACHE,@GENE_APP,blue
@GENE_APP,@GENE_APOE,blue
@GENE_APP,@GENE_NGFR,blue
@GENE_APP,@GENE_TTR,blue
@GENE_APP,@GENE_FOXO3,blue
@GENE_APP,@GENE_CRYAB,blue
@GENE_APP,@GENE_LCN2,blue
@GENE_APP,@GENE_SNCA,blue
@GENE_APP,@GENE_BACE1,green
@GENE_APP,@GENE_PSEN1,green
@GENE_APP,@GENE_MAPT,red
@GENE_FASN,@GENE_ACSL4,blue
@GENE_FASN,@GENE_ALAD,blue
@GENE_GOT1,@GENE_ASNS,blue
@GENE_GOT1,@GENE_ASRGL1,blue
@GENE_GOT1,@GENE_CDO1,blue
@GENE_GOT1,@GENE_CTH,blue
@GENE_GOT1,@GENE_DDC,blue
@GENE_GOT1,@GENE_FH,blue
@GENE_GOT1,@GENE_GCLC,blue
@GENE_GOT1,@GENE_GCLM,blue
@GENE_GOT1,@GENE_MIF,blue
@GENE_GOT1,@GENE_TYR,blue
@GENE_GOT1,@GENE_HPD,blue
@GENE_GOT1,@GENE_IDH2,blue
@GENE_GOT1,@GENE_TAT,blue
@GENE_GOT1,@GENE_HOGA1,blue
@GENE_GOT1,@GENE_IDH1,blue
@GENE_GOT1,@GENE_PAH,blue
@GENE_GOT1,@GENE_TH,blue
@GENE_ADAM17,@GENE_NGFR,blue
@GENE_ADAM17,@GENE_MAPK14,blue
@GENE_ADAM17,@GENE_TNF,green
@GENE_ADAM17,@GENE_NOTCH1,blue
@GENE_NGFR,@GENE_BDNF,blue
@GENE_NGFR,@GENE_NGF,green
@GENE_NGFR,@GENE_PIK3CB,blue
@GENE_NGFR,@GENE_PIK3CA,blue
@GENE_NGFR,@GENE_TRAF6,blue
@GENE_MAPK14,@GENE_AKT1,blue
