#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AACS	OXCT1	9606.ENSP00000324842	9606.ENSP00000196371	0	0	0	0	0	0	0.900	0	0.900
AACS	EHHADH	9606.ENSP00000324842	9606.ENSP00000231887	0	0	0	0	0	0	0.915	0	0.915
AACS	ACAT1	9606.ENSP00000324842	9606.ENSP00000265838	0	0	0	0	0	0	0.918	0	0.918
AACS	HMGCL	9606.ENSP00000324842	9606.ENSP00000363614	0	0	0	0	0	0	0.918	0	0.918
AASS	BTD	9606.ENSP00000403768	9606.ENSP00000500193	0	0	0	0	0	0	0.800	0	0.800
ABCA1	APOA1	9606.ENSP00000363868	9606.ENSP00000236850	0	0	0	0	0	0.697	0.900	0	0.968
ABCB6	ATP1B1	9606.ENSP00000265316	9606.ENSP00000356790	0	0	0	0	0	0	0.720	0	0.720
ABCB6	ABCG8	9606.ENSP00000265316	9606.ENSP00000272286	0	0	0	0.560	0	0.050	0.900	0	0.900
ABCB6	ABCG5	9606.ENSP00000265316	9606.ENSP00000384513	0	0	0	0.555	0	0.050	0.900	0	0.900
ABCB6	ABCD4	9606.ENSP00000265316	9606.ENSP00000349396	0	0	0	0.554	0	0	0.900	0	0.900
ABCD2	ABCD3	9606.ENSP00000310688	9606.ENSP00000359233	0	0	0	0.888	0	0.132	0.900	0	0.909
ABCD4	ABCG8	9606.ENSP00000349396	9606.ENSP00000272286	0	0	0	0	0	0	0.900	0	0.900
ABCD4	ATP1B1	9606.ENSP00000349396	9606.ENSP00000356790	0	0	0	0	0	0	0.720	0	0.720
ABCD4	ABCG5	9606.ENSP00000349396	9606.ENSP00000384513	0	0	0	0	0	0	0.900	0	0.900
ABCD4	LMBRD1	9606.ENSP00000349396	9606.ENSP00000497690	0	0	0	0	0	0.541	0.900	0	0.952
ABCG5	ABCG8	9606.ENSP00000384513	9606.ENSP00000272286	0	0	0	0.739	0	0.971	0.900	0	0.996
ABCG5	ATP1B1	9606.ENSP00000384513	9606.ENSP00000356790	0	0	0	0	0	0	0.720	0	0.720
ABCG8	ATP1B1	9606.ENSP00000272286	9606.ENSP00000356790	0	0	0	0	0	0	0.720	0	0.720
ACACA	ACSS2	9606.ENSP00000483300	9606.ENSP00000253382	0	0	0	0	0	0.069	0.900	0	0.902
ACACA	ACAT1	9606.ENSP00000483300	9606.ENSP00000265838	0	0	0	0	0	0	0.927	0	0.927
ACACA	PRKAG2	9606.ENSP00000483300	9606.ENSP00000287878	0	0	0	0	0	0.063	0.900	0	0.902
ACACA	MCAT	9606.ENSP00000483300	9606.ENSP00000290429	0	0	0	0	0	0	0.900	0	0.900
ACACA	ACACB	9606.ENSP00000483300	9606.ENSP00000341044	0	0	0	0.977	0	0.459	0.900	0	0.943
ACACA	CS	9606.ENSP00000483300	9606.ENSP00000342056	0	0	0	0	0	0.058	0.800	0	0.803
ACACA	ALDH18A1	9606.ENSP00000483300	9606.ENSP00000360268	0	0	0	0	0	0	0.767	0	0.767
ACACA	ASS1	9606.ENSP00000483300	9606.ENSP00000361471	0	0	0	0	0	0	0.792	0	0.792
ACACA	SUCLG1	9606.ENSP00000483300	9606.ENSP00000377446	0	0	0	0	0	0	0.800	0	0.800
ACACA	SUCLG2	9606.ENSP00000483300	9606.ENSP00000419325	0	0	0	0	0	0	0.800	0	0.800
ACACA	SUCLA2	9606.ENSP00000483300	9606.ENSP00000494360	0	0	0	0	0	0	0.800	0	0.800
ACACB	ACSS2	9606.ENSP00000341044	9606.ENSP00000253382	0	0	0	0	0	0.069	0.900	0	0.902
ACACB	CPT1A	9606.ENSP00000341044	9606.ENSP00000265641	0	0	0	0	0	0	0.900	0	0.900
ACACB	ACAT1	9606.ENSP00000341044	9606.ENSP00000265838	0	0	0	0	0	0	0.927	0	0.927
ACACB	PRKAG2	9606.ENSP00000341044	9606.ENSP00000287878	0	0	0	0	0	0.063	0.900	0	0.902
ACACB	MCAT	9606.ENSP00000341044	9606.ENSP00000290429	0	0	0	0	0	0	0.900	0	0.900
ACACB	ALDH18A1	9606.ENSP00000341044	9606.ENSP00000360268	0	0	0	0	0	0	0.767	0	0.767
ACACB	ASS1	9606.ENSP00000341044	9606.ENSP00000361471	0	0	0	0	0	0	0.792	0	0.792
ACACB	SUCLG1	9606.ENSP00000341044	9606.ENSP00000377446	0	0	0	0	0	0	0.800	0	0.800
ACACB	SUCLG2	9606.ENSP00000341044	9606.ENSP00000419325	0	0	0	0	0	0	0.800	0	0.800
ACACB	SUCLA2	9606.ENSP00000341044	9606.ENSP00000494360	0	0	0	0	0	0	0.800	0	0.800
ACACB	CS	9606.ENSP00000341044	9606.ENSP00000342056	0	0	0	0	0	0.058	0.800	0	0.803
ACACB	CPT1C	9606.ENSP00000341044	9606.ENSP00000376303	0	0	0	0	0	0	0.900	0	0.900
