#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	prediction	combined_score
TCF4	CTNNB1	1853052	1852818	9606.ENSP00000346440	9606.ENSP00000344456	0	0	0	0	0	0.999	0.900	0	0	0.999
EGFR	CBLB	1846445	1845483	9606.ENSP00000275493	9606.ENSP00000264122	0	0	0	0	0	0.999	0.900	0	0	0.999
CTNNB1	GSK3B	1852818	1850681	9606.ENSP00000344456	9606.ENSP00000324806	0	0	0	0	0	0.999	0.900	0	0	0.999
AXIN1	APC	1845118	1844508	9606.ENSP00000262320	9606.ENSP00000257430	0	0	0	0	0	0.998	0.900	0	0	0.999
GSK3B	AXIN1	1850681	1845118	9606.ENSP00000324806	9606.ENSP00000262320	0	0	0	0	0	0.999	0.900	0	0	0.999
CTNNB1	LEF1	1852818	1845704	9606.ENSP00000344456	9606.ENSP00000265165	0	0	0	0	0	0.999	0.900	0	0	0.999
CTNNB1	CDH5	1852818	1852772	9606.ENSP00000344456	9606.ENSP00000344115	0	0	0	0	0	0.999	0.900	0	0	0.999
CTNNB1	AXIN1	1852818	1845118	9606.ENSP00000344456	9606.ENSP00000262320	0	0	0	0	0	0.999	0.900	0	0	0.999
CTNNB1	CTNNA1	1852818	1848658	9606.ENSP00000344456	9606.ENSP00000304669	0	0	0	0	0	0.999	0.900	0	0	0.999
CTNNB1	CDH2	1852818	1846066	9606.ENSP00000344456	9606.ENSP00000269141	0	0	0	0	0	0.999	0.900	0	0	0.999
CTNNB1	APC	1852818	1844508	9606.ENSP00000344456	9606.ENSP00000257430	0	0	0	0	0	0.999	0.900	0	0	0.999
TCF7L2	CTNNB1	1862284	1852818	9606.ENSP00000444972	9606.ENSP00000344456	0	0	0	0	0	0.999	0.900	0	0	0.999
GSK3B	APC	1850681	1844508	9606.ENSP00000324806	9606.ENSP00000257430	0	0	0	0	0	0.986	0.900	0	0	0.998
CTNNA1	CDH2	1848658	1846066	9606.ENSP00000304669	9606.ENSP00000269141	0	0	0	0	0	0.983	0.900	0	0	0.998
TNFRSF11B	TNFSF11	1847859	1843537	9606.ENSP00000297350	9606.ENSP00000239849	0	0	0	0	0	0.980	0.800	0	0	0.996
SOD1	copper	1846132	-100011009	9606.ENSP00000270142	-1.CID100011009	0	0	0	0	0	0.957	0.900	0	0	0.995
CTNNB1	EGFR	1852818	1846445	9606.ENSP00000344456	9606.ENSP00000275493	0	0	0	0	0	0.958	0.900	0	0	0.995
CDH5	CTNNA1	1852772	1848658	9606.ENSP00000344115	9606.ENSP00000304669	0	0	0	0	0	0.953	0.900	0	0	0.995
GSTZ1	reduced glutat.	1842600	-100000745	9606.ENSP00000216465	-1.CID100000745	0	0	0	0	0	0.897	0.900	0	0	0.989
PROC	calcium ions	1843382	-100000271	9606.ENSP00000234071	-1.CID100000271	0	0	0	0	0	0.859	0.900	0	0	0.985
CTNNA1	EGFR	1848658	1846445	9606.ENSP00000304669	9606.ENSP00000275493	0	0	0	0	0	0.847	0.900	0	0	0.984
APCS	calcium ions	1844350	-100000271	9606.ENSP00000255040	-1.CID100000271	0	0	0	0	0	0.800	0.900	0	0	0.979
PAH	tetrahydro.in .	1862478	-100001125	9606.ENSP00000448059	-1.CID100001125	0	0	0	0	0	0.800	0.900	0	0	0.979
VIM	calcium ions	1842995	-100000271	9606.ENSP00000224237	-1.CID100000271	0	0	0	0	0	0.800	0.900	0	0	0.979
CRP	calcium ions	1844348	-100000271	9606.ENSP00000255030	-1.CID100000271	0	0	0	0	0	0.800	0.900	0	0	0.979
CDH5	calcium ions	1852772	-100000271	9606.ENSP00000344115	-1.CID100000271	0	0	0	0	0	0.787	0.900	0	0	0.978
CDH2	calcium ions	1846066	-100000271	9606.ENSP00000269141	-1.CID100000271	0	0	0	0	0	0.795	0.900	0	0	0.978
CAT	hydrogen perox.	1843587	-100000784	9606.ENSP00000241052	-1.CID100000784	0	0	0	0	0	0.690	0.900	0	0	0.968
CTNNA1	APC	1848658	1844508	9606.ENSP00000304669	9606.ENSP00000257430	0	0	0	0	0	0.969	0	0	0	0.968
