#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABL1	RB1	9606.ENSP00000361423	9606.ENSP00000267163	0	0	0	0	0	0.736	0.900	0	0.972
ABL1	EGFR	9606.ENSP00000361423	9606.ENSP00000275493	0	0	0	0.591	0	0.790	0	0	0.790
ABL1	NTRK2	9606.ENSP00000361423	9606.ENSP00000277120	0	0	0	0.634	0	0	0.900	0	0.900
ABL1	ATM	9606.ENSP00000361423	9606.ENSP00000278616	0	0	0	0	0	0.820	0.750	0	0.953
ABL1	STAT5A	9606.ENSP00000361423	9606.ENSP00000341208	0	0	0	0	0	0.332	0.900	0	0.930
ABL1	FN1	9606.ENSP00000361423	9606.ENSP00000346839	0	0	0	0	0	0.900	0	0	0.900
ABL1	RUNX2	9606.ENSP00000361423	9606.ENSP00000360493	0	0	0	0	0	0	0.750	0	0.750
ABL1	PIK3R1	9606.ENSP00000361423	9606.ENSP00000428056	0	0	0	0.551	0	0.793	0	0	0.793
ABL1	YAP1	9606.ENSP00000361423	9606.ENSP00000478927	0	0	0	0	0	0.314	0.750	0	0.821
ABL1	CTNNB1	9606.ENSP00000361423	9606.ENSP00000495360	0	0	0	0	0	0.539	0.500	0	0.759
ABL1	BRCA1	9606.ENSP00000361423	9606.ENSP00000418960	0	0	0	0	0	0.483	0.500	0	0.730
ABL1	NTRK1	9606.ENSP00000361423	9606.ENSP00000431418	0	0	0	0.642	0	0.510	0.900	0	0.948
ACE2	IL2	9606.ENSP00000389326	9606.ENSP00000226730	0	0	0	0	0	0.900	0	0	0.900
ACHE	APP	9606.ENSP00000303211	9606.ENSP00000284981	0	0	0	0	0	0.735	0	0	0.735
ACLY	FASN	9606.ENSP00000466259	9606.ENSP00000304592	0	0	0	0	0	0.087	0.800	0	0.809
ACLY	GOT1	9606.ENSP00000466259	9606.ENSP00000359539	0	0	0	0	0	0	0.800	0	0.800
ACSL4	FASN	9606.ENSP00000339787	9606.ENSP00000304592	0	0	0	0	0	0	0.900	0	0.900
ADAM17	NGFR	9606.ENSP00000309968	9606.ENSP00000172229	0	0	0	0	0	0	0.750	0	0.750
ADAM17	MAPK14	9606.ENSP00000309968	9606.ENSP00000229795	0	0	0	0	0	0	0.750	0	0.750
ADAM17	TNF	9606.ENSP00000309968	9606.ENSP00000398698	0	0	0	0	0	0	0.750	0	0.750
ADAM17	NOTCH1	9606.ENSP00000309968	9606.ENSP00000498587	0	0	0	0	0	0.078	0.900	0	0.903
ADIPOQ	ADIPOR1	9606.ENSP00000389814	9606.ENSP00000341785	0	0	0	0	0	0	0.900	0	0.900
ADORA2A	NTRK2	9606.ENSP00000480012	9606.ENSP00000277120	0	0	0	0	0	0	0.700	0	0.700
ADORA2A	POMC	9606.ENSP00000480012	9606.ENSP00000384092	0	0	0	0	0	0.094	0.900	0	0.905
ADORA2A	GCG	9606.ENSP00000480012	9606.ENSP00000387662	0	0	0	0	0	0	0.900	0	0.900
ADORA2A	NTRK1	9606.ENSP00000480012	9606.ENSP00000431418	0	0	0	0	0	0	0.700	0	0.700
