#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	prediction	combined_score
MAP2K1	BRAF	1848411	1847131	9606.ENSP00000302486	9606.ENSP00000288602	0	0	0	0.634	0	0.999	0.900	0	0	0.999
EGFR	ERBB2	1846445	1846101	9606.ENSP00000275493	9606.ENSP00000269571	0	0	0	0.947	0	0.999	0.900	0	0	0.999
GSK3B	AXIN2	1850681	1848431	9606.ENSP00000324806	9606.ENSP00000302625	0	0	0	0	0	0.991	0.900	0	0	0.999
MAP2K1	MAPK3	1848411	1845265	9606.ENSP00000302486	9606.ENSP00000263025	0	0	0	0.642	0	0.998	0.900	0	0	0.999
GSK3B	AKT1	1850681	1846136	9606.ENSP00000324806	9606.ENSP00000270202	0	0	0	0.632	0	0.999	0.900	0	0	0.999
MAP2K1	MAPK1	1848411	1842512	9606.ENSP00000302486	9606.ENSP00000215832	0	0	0	0.644	0	0.999	0.900	0	0	0.999
PCNA	RFC4	1856984	1847705	9606.ENSP00000368438	9606.ENSP00000296273	0	0	0	0	0	0.999	0.900	0	0	0.999
MLST8	MTOR	1858459	1854147	9606.ENSP00000380313	9606.ENSP00000354558	0	0	0	0	0	0.999	0.900	0	0	0.999
KIT	PIK3R1	1847112	1846375	9606.ENSP00000288135	9606.ENSP00000274335	0	0	0	0	0	0.997	0.900	0	0	0.999
PIK3R1	CBLB	1846375	1845483	9606.ENSP00000274335	9606.ENSP00000264122	0	0	0	0	0	0.999	0.900	0	0	0.999
RFC1	RFC4	1857450	1847705	9606.ENSP00000371321	9606.ENSP00000296273	0	0	0	0	0	0.999	0.900	0	0	0.999
EGFR	CBLB	1846445	1845483	9606.ENSP00000275493	9606.ENSP00000264122	0	0	0	0	0	0.999	0.900	0	0	0.999
ARNT	HIF1A	1853710	1852062	9606.ENSP00000351407	9606.ENSP00000338018	0	0	0	0.637	0	0.999	0.900	0	0	0.999
PCNA	LIG1	1856984	1845325	9606.ENSP00000368438	9606.ENSP00000263274	0	0	0	0	0	0.999	0.900	0	0	0.999
PRMT5	WDR77	1850120	1843416	9606.ENSP00000319169	9606.ENSP00000235090	0	0	0	0	0	0.999	0.900	0	0	0.999
IRS1	INSR	1848682	1848574	9606.ENSP00000304895	9606.ENSP00000303830	0	0	0	0	0	0.998	0.900	0	0	0.999
