#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
FAH	GSTZ1	9606.ENSP00000385080	9606.ENSP00000451976	0	0	0	0	0	0	0.977	0	0.977
GAA	SI	9606.ENSP00000305692	9606.ENSP00000264382	0	0	0	0.902	0	0	0.900	0	0.900
GSTZ1	HGD	9606.ENSP00000451976	9606.ENSP00000283871	0	0	0	0	0	0	0.979	0	0.979
GSTZ1	FAH	9606.ENSP00000451976	9606.ENSP00000385080	0	0	0	0	0	0	0.977	0	0.977
HGD	GSTZ1	9606.ENSP00000283871	9606.ENSP00000451976	0	0	0	0	0	0	0.979	0	0.979
HGD	HPD	9606.ENSP00000283871	9606.ENSP00000289004	0	0	0	0	0	0.091	0.978	0	0.979
HPD	HGD	9606.ENSP00000289004	9606.ENSP00000283871	0	0	0	0	0	0.091	0.978	0	0.979
MC1R	POMC	9606.ENSP00000451605	9606.ENSP00000384092	0	0	0	0	0	0.930	0.900	0	0.992
MC2R	POMC	9606.ENSP00000333821	9606.ENSP00000384092	0	0	0	0	0	0.905	0.900	0	0.990
MC5R	POMC	9606.ENSP00000468086	9606.ENSP00000384092	0	0	0	0	0	0.331	0.900	0	0.930
PAH	TYR	9606.ENSP00000448059	9606.ENSP00000263321	0	0	0	0	0	0.045	0.800	0	0.800
POMC	MC2R	9606.ENSP00000384092	9606.ENSP00000333821	0	0	0	0	0	0.905	0.900	0	0.990
POMC	MC1R	9606.ENSP00000384092	9606.ENSP00000451605	0	0	0	0	0	0.930	0.900	0	0.992
POMC	MC5R	9606.ENSP00000384092	9606.ENSP00000468086	0	0	0	0	0	0.331	0.900	0	0.930
PTCH1	SMO	9606.ENSP00000332353	9606.ENSP00000249373	0	0	0	0	0	0.736	0.900	0	0.972
SI	GAA	9606.ENSP00000264382	9606.ENSP00000305692	0	0	0	0.902	0	0	0.900	0	0.900
SMO	PTCH1	9606.ENSP00000249373	9606.ENSP00000332353	0	0	0	0	0	0.736	0.900	0	0.972
TNFRSF11B	TNFSF11	9606.ENSP00000297350	9606.ENSP00000381775	0	0	0	0	0	0.963	0.900	0	0.996
TNFSF11	TNFRSF11B	9606.ENSP00000381775	9606.ENSP00000297350	0	0	0	0	0	0.963	0.900	0	0.996
TYR	PAH	9606.ENSP00000263321	9606.ENSP00000448059	0	0	0	0	0	0.045	0.800	0	0.800
