#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AGMAT	FAAH	9606.ENSP00000364986	9606.ENSP00000243167	0	0	0	0	0	0	0.402	0	0.402
AGMAT	AOC1	9606.ENSP00000364986	9606.ENSP00000411613	0	0	0	0	0	0	0.900	0	0.900
AGPAT2	CDS1	9606.ENSP00000360761	9606.ENSP00000295887	0	0	0	0	0	0	0.955	0	0.955
AGPAT2	CDS2	9606.ENSP00000360761	9606.ENSP00000419879	0	0	0	0	0	0	0.955	0	0.955
AKAP5	ROBO3	9606.ENSP00000378207	9606.ENSP00000380903	0	0	0	0	0	0	0.900	0	0.900
AKR1A1	GRHPR	9606.ENSP00000361140	9606.ENSP00000313432	0	0	0	0	0	0.225	0.284	0	0.421
AMBRA1	ELOB	9606.ENSP00000431926	9606.ENSP00000262306	0	0	0	0	0	0.695	0	0	0.695
APEX1	RPA2	9606.ENSP00000216714	9606.ENSP00000363017	0	0	0	0	0	0.076	0.500	0	0.518
ARF5	USO1	9606.ENSP00000000233	9606.ENSP00000264904	0	0	0	0	0	0.058	0.500	0	0.508
ARF5	ARFIP2	9606.ENSP00000000233	9606.ENSP00000484121	0	0	0	0	0	0.527	0	0	0.527
ASB1	ELOB	9606.ENSP00000264607	9606.ENSP00000262306	0	0	0	0	0	0.610	0.400	0	0.755
ATXN1	RBFOX2	9606.ENSP00000244769	9606.ENSP00000413035	0	0	0	0	0	0.437	0	0	0.437
BBS2	CCT4	9606.ENSP00000245157	9606.ENSP00000377958	0	0	0	0	0	0	0.400	0	0.400
CARD16	KLK8	9606.ENSP00000364858	9606.ENSP00000375682	0	0	0	0	0	0	0.720	0	0.720
CCT4	DNAJB11	9606.ENSP00000377958	9606.ENSP00000414398	0	0	0	0	0	0.050	0.720	0	0.722
CDS1	CDS2	9606.ENSP00000295887	9606.ENSP00000419879	0	0	0	0.975	0	0.626	0.900	0	0.961
CHPF2	CHSY1	9606.ENSP00000035307	9606.ENSP00000254190	0	0	0	0.633	0	0.091	0.650	0	0.668
COPS8	ELOB	9606.ENSP00000346340	9606.ENSP00000262306	0	0	0	0	0	0.830	0	0	0.830
COPS8	RPS27A	9606.ENSP00000346340	9606.ENSP00000272317	0	0	0	0	0	0	0.500	0	0.499
COPS8	HOGA1	9606.ENSP00000346340	9606.ENSP00000359680	0	0	0	0	0	0.433	0	0	0.433
COPS8	UBB	9606.ENSP00000346340	9606.ENSP00000478771	0	0	0	0	0	0.075	0.500	0	0.517
COX6A1	CTBS	9606.ENSP00000229379	9606.ENSP00000359664	0	0	0	0	0	0.239	0.253	0	0.407
DNAJB11	PDIA6	9606.ENSP00000414398	9606.ENSP00000385385	0	0	0	0	0	0.292	0.360	0	0.528
ELOB	ROBO3	9606.ENSP00000262306	9606.ENSP00000380903	0	0	0	0	0	0	0.500	0	0.499
ELOB	UBB	9606.ENSP00000262306	9606.ENSP00000478771	0	0	0	0	0	0	0.500	0	0.499
ELOB	PSMB6	9606.ENSP00000262306	9606.ENSP00000270586	0	0	0	0	0	0	0.400	0	0.400
ELOB	RPS27A	9606.ENSP00000262306	9606.ENSP00000272317	0	0	0	0	0	0	0.500	0	0.499
ELOB	SPSB4	9606.ENSP00000262306	9606.ENSP00000311609	0	0	0	0	0	0.591	0.400	0	0.744
ELOB	SPSB1	9606.ENSP00000262306	9606.ENSP00000330221	0	0	0	0	0	0.329	0.400	0	0.580
ELOB	ICE1	9606.ENSP00000262306	9606.ENSP00000296564	0	0	0	0	0	0	0.900	0	0.900
ENTPD8	GUCY2C	9606.ENSP00000360561	9606.ENSP00000261170	0	0	0	0	0	0	0.650	0	0.650
ENTPD8	NPR1	9606.ENSP00000360561	9606.ENSP00000357669	0	0	0	0	0	0	0.650	0	0.650
ENTPD8	NT5C3B	9606.ENSP00000360561	9606.ENSP00000389948	0	0	0	0	0	0	0.650	0	0.650
FECH	PPOX	9606.ENSP00000498358	9606.ENSP00000356978	0	0	0	0	0	0	0.980	0	0.980
GABBR1	KCNJ2	9606.ENSP00000366233	9606.ENSP00000243457	0	0	0	0	0	0	0.500	0	0.499
GABBR1	GABBR2	9606.ENSP00000366233	9606.ENSP00000259455	0	0	0	0.805	0	0.992	0.900	0	0.999
GABBR1	GRM1	9606.ENSP00000366233	9606.ENSP00000282753	0	0	0	0.549	0	0.182	0.720	0	0.761
GABBR1	TAS2R20	9606.ENSP00000366233	9606.ENSP00000441624	0	0	0	0	0	0	0.500	0	0.499
GABBR1	TAS2R39	9606.ENSP00000366233	9606.ENSP00000405095	0	0	0	0	0	0	0.500	0	0.499
GABBR1	GABRA1	9606.ENSP00000366233	9606.ENSP00000393097	0	0	0	0	0	0.059	0.540	0	0.548
GABBR2	KCNJ2	9606.ENSP00000259455	9606.ENSP00000243457	0	0	0	0	0	0	0.500	0	0.499
GABBR2	TAS2R39	9606.ENSP00000259455	9606.ENSP00000405095	0	0	0	0	0	0	0.500	0	0.499
GABBR2	TAS2R20	9606.ENSP00000259455	9606.ENSP00000441624	0	0	0	0	0	0	0.500	0	0.499
GABBR2	GRM1	9606.ENSP00000259455	9606.ENSP00000282753	0	0	0	0.550	0	0.135	0.720	0	0.747
GABBR2	GABRA1	9606.ENSP00000259455	9606.ENSP00000393097	0	0	0	0	0	0.059	0.720	0	0.725
GPR4	GPR68	9606.ENSP00000319744	9606.ENSP00000498702	0	0	0	0.923	0	0	0.400	0	0.400
GRHPR	HAO2	9606.ENSP00000313432	9606.ENSP00000354314	0	0	0	0	0	0	0.900	0	0.900
GRHPR	HAO1	9606.ENSP00000313432	9606.ENSP00000368066	0	0	0	0	0	0	0.900	0	0.900
GRHPR	HOGA1	9606.ENSP00000313432	9606.ENSP00000359680	0	0	0	0	0	0	0.925	0	0.925
GSTK1	RPS27A	9606.ENSP00000431049	9606.ENSP00000272317	0	0	0	0	0	0.045	0.500	0	0.502
GSTK1	UBB	9606.ENSP00000431049	9606.ENSP00000478771	0	0	0	0	0	0.045	0.500	0	0.502
HAO1	RPS27A	9606.ENSP00000368066	9606.ENSP00000272317	0	0	0	0	0	0.064	0.500	0	0.511
HAO1	HAO2	9606.ENSP00000368066	9606.ENSP00000354314	0	0	0	0.932	0	0	0.900	0	0.900
HAO1	HOGA1	9606.ENSP00000368066	9606.ENSP00000359680	0	0	0	0	0	0	0.900	0	0.900
HAO1	UBB	9606.ENSP00000368066	9606.ENSP00000478771	0	0	0	0	0	0.064	0.500	0	0.511
HAO2	RPS27A	9606.ENSP00000354314	9606.ENSP00000272317	0	0	0	0	0	0.183	0.500	0	0.574
HAO2	UBB	9606.ENSP00000354314	9606.ENSP00000478771	0	0	0	0	0	0.236	0.500	0	0.602
HAO2	HOGA1	9606.ENSP00000354314	9606.ENSP00000359680	0	0	0	0	0	0	0.900	0	0.900
HK1	HK3	9606.ENSP00000494664	9606.ENSP00000292432	0	0	0	0.951	0	0.781	0.900	0	0.977
HK1	PGM2	9606.ENSP00000494664	9606.ENSP00000371393	0	0	0	0	0	0	0.914	0	0.914
HK3	PGM2	9606.ENSP00000292432	9606.ENSP00000371393	0	0	0	0	0	0	0.914	0	0.914
ICE1	SNRPA1	9606.ENSP00000296564	9606.ENSP00000254193	0	0	0	0	0	0.413	0	0	0.412
INTS11	INTS9	9606.ENSP00000445001	9606.ENSP00000429065	0	0	0	0.561	0	0.997	0.800	0	0.999
INTS11	INTS4	9606.ENSP00000445001	9606.ENSP00000434466	0	0	0	0	0	0.995	0.800	0	0.999
INTS4	INTS9	9606.ENSP00000434466	9606.ENSP00000429065	0	0	0	0	0	0.995	0.800	0	0.998
IPMK	ITPK1	9606.ENSP00000363046	9606.ENSP00000267615	0	0	0	0	0	0.045	0.900	0	0.900
IPMK	IPPK	9606.ENSP00000363046	9606.ENSP00000287996	0	0	0	0	0	0	0.911	0	0.911
IPPK	ITPK1	9606.ENSP00000287996	9606.ENSP00000267615	0	0	0	0	0	0	0.900	0	0.900
LRP5	RPS27A	9606.ENSP00000294304	9606.ENSP00000272317	0	0	0	0	0	0	0.500	0	0.499
LRP5	UBB	9606.ENSP00000294304	9606.ENSP00000478771	0	0	0	0	0	0	0.500	0	0.499
LYZ	MFGE8	9606.ENSP00000261267	9606.ENSP00000268150	0	0	0	0	0	0	0.400	0	0.400
MDH2	NDUFAB1	9606.ENSP00000327070	9606.ENSP00000458770	0	0	0	0	0	0.441	0.178	0	0.521
MR1	TAPBPL	9606.ENSP00000477563	9606.ENSP00000266556	0	0	0	0	0	0.900	0	0	0.900
MR1	RPA2	9606.ENSP00000477563	9606.ENSP00000363017	0	0	0	0	0	0.451	0	0	0.451
MRE11	RPS27A	9606.ENSP00000325863	9606.ENSP00000272317	0	0	0	0	0	0.091	0.500	0	0.526
MRE11	SLC26A6	9606.ENSP00000325863	9606.ENSP00000378920	0	0	0	0	0	0.423	0	0	0.422
MRE11	UBB	9606.ENSP00000325863	9606.ENSP00000478771	0	0	0	0	0	0.091	0.500	0	0.526
MRE11	RPA2	9606.ENSP00000325863	9606.ENSP00000363017	0	0	0	0	0	0.108	0.500	0	0.535
MRE11	SUMO2	9606.ENSP00000325863	9606.ENSP00000405965	0	0	0	0	0	0.586	0.500	0	0.784
MRE11	RAD50	9606.ENSP00000325863	9606.ENSP00000368100	0	0	0	0	0	0.998	0.900	0	0.999
NADK	UBASH3B	9606.ENSP00000367890	9606.ENSP00000284273	0	0	0	0	0	0	0.449	0	0.449
NADK	SLC15A1	9606.ENSP00000367890	9606.ENSP00000365686	0	0	0	0	0	0	0.510	0	0.510
NDUFAB1	NDUFB8	9606.ENSP00000458770	9606.ENSP00000299166	0	0	0	0	0	0.994	0.967	0	0.999
NDUFAB1	SLC25A25	9606.ENSP00000458770	9606.ENSP00000362160	0	0	0	0	0	0.512	0	0	0.512
NDUFB8	SLC25A25	9606.ENSP00000299166	9606.ENSP00000362160	0	0	0	0	0	0.584	0	0	0.584
NUDT7	RPS27A	9606.ENSP00000268533	9606.ENSP00000272317	0	0	0	0	0	0.045	0.500	0	0.502
NUDT7	UBB	9606.ENSP00000268533	9606.ENSP00000478771	0	0	0	0	0	0.045	0.500	0	0.502
PAFAH1B1	PLA2G12B	9606.ENSP00000380378	9606.ENSP00000362123	0	0	0	0	0	0	0.650	0	0.650
PAFAH1B1	RAB18	9606.ENSP00000380378	9606.ENSP00000478479	0	0	0	0	0	0	0.500	0	0.499
PAFAH1B1	PLA2G10	9606.ENSP00000380378	9606.ENSP00000393847	0	0	0	0	0	0	0.650	0	0.650
PAG1	SLC9A3R1	9606.ENSP00000220597	9606.ENSP00000262613	0	0	0	0	0	0.406	0	0	0.406
PAPSS1	SUOX	9606.ENSP00000265174	9606.ENSP00000377668	0	0	0	0	0	0	0.962	0	0.962
PLA2G10	TMEM189	9606.ENSP00000393847	9606.ENSP00000360715	0	0	0	0	0	0	0.650	0	0.650
PLA2G12B	TMEM189	9606.ENSP00000362123	9606.ENSP00000360715	0	0	0	0	0	0	0.650	0	0.650
PSMB6	ROBO3	9606.ENSP00000270586	9606.ENSP00000380903	0	0	0	0	0	0	0.400	0	0.400
PSMB6	UBB	9606.ENSP00000270586	9606.ENSP00000478771	0	0	0	0	0	0.857	0.500	0	0.925
PSMB6	RPS27A	9606.ENSP00000270586	9606.ENSP00000272317	0	0	0	0	0	0.901	0.500	0	0.948
RAD50	RPS27A	9606.ENSP00000368100	9606.ENSP00000272317	0	0	0	0	0	0	0.500	0	0.499
RAD50	RPA2	9606.ENSP00000368100	9606.ENSP00000363017	0	0	0	0	0	0.076	0.500	0	0.518
RAD50	UBB	9606.ENSP00000368100	9606.ENSP00000478771	0	0	0	0	0	0	0.500	0	0.499
RAD50	SUMO2	9606.ENSP00000368100	9606.ENSP00000405965	0	0	0	0	0	0.526	0.500	0	0.753
RBCK1	RPS27A	9606.ENSP00000348632	9606.ENSP00000272317	0	0	0	0	0	0.457	0.500	0	0.717
RBCK1	UBB	9606.ENSP00000348632	9606.ENSP00000478771	0	0	0	0	0	0.905	0.500	0	0.950
RBFOX2	RBM38	9606.ENSP00000413035	9606.ENSP00000348538	0	0	0	0.611	0	0.661	0	0	0.661
RNPS1	ROBO3	9606.ENSP00000457723	9606.ENSP00000380903	0	0	0	0	0	0	0.500	0	0.499
ROBO3	RPS27A	9606.ENSP00000380903	9606.ENSP00000272317	0	0	0	0	0	0.126	0.500	0	0.544
ROBO3	UBB	9606.ENSP00000380903	9606.ENSP00000478771	0	0	0	0	0	0.132	0.500	0	0.547
RPA2	RPS27A	9606.ENSP00000363017	9606.ENSP00000272317	0	0	0	0	0	0.050	0.500	0	0.504
RPA2	SUMO3	9606.ENSP00000363017	9606.ENSP00000409666	0	0	0	0	0	0	0.500	0	0.499
RPA2	SUMO2	9606.ENSP00000363017	9606.ENSP00000405965	0	0	0	0	0	0	0.500	0	0.499
RPA2	UBB	9606.ENSP00000363017	9606.ENSP00000478771	0	0	0	0	0	0.089	0.500	0	0.525
RPS27A	SUMO3	9606.ENSP00000272317	9606.ENSP00000409666	0	0	0	0	0	0.452	0.500	0	0.714
RPS27A	SUMO2	9606.ENSP00000272317	9606.ENSP00000405965	0	0	0	0	0	0.452	0.500	0	0.714
RPS27A	UBB	9606.ENSP00000272317	9606.ENSP00000478771	0	0	0	0.930	0	0.983	0.900	0	0.998
SELENBP1	SQOR	9606.ENSP00000397261	9606.ENSP00000456019	0	0	0	0	0	0	0.900	0	0.900
SNRPA1	SRRM3	9606.ENSP00000254193	9606.ENSP00000480851	0	0	0	0	0	0.807	0	0	0.807
SUMO2	UBB	9606.ENSP00000405965	9606.ENSP00000478771	0	0	0	0	0	0.242	0.500	0	0.605
SUMO2	SUMO3	9606.ENSP00000405965	9606.ENSP00000409666	0	0	0	0.976	0	0.610	0.500	0	0.796
SUMO3	UBB	9606.ENSP00000409666	9606.ENSP00000478771	0	0	0	0	0	0.092	0.500	0	0.526
TAS2R20	TAS2R39	9606.ENSP00000441624	9606.ENSP00000405095	0	0	0	0.669	0	0	0.400	0	0.400
