#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ACADS	AOX1	9606.ENSP00000242592	9606.ENSP00000363832	0	0	0	0	0	0	0.800	0	0.800
ACADS	GCDH	9606.ENSP00000242592	9606.ENSP00000466845	0	0	0	0.756	0	0	0.900	0	0.900
ACE2	IL2	9606.ENSP00000389326	9606.ENSP00000226730	0	0	0	0	0	0.900	0	0	0.900
ACE2	DPP4	9606.ENSP00000389326	9606.ENSP00000353731	0	0	0	0	0	0	0.900	0	0.900
ACTG2	SETD3	9606.ENSP00000386857	9606.ENSP00000327436	0	0	0	0	0	0.903	0	0	0.903
ADA	NT5E	9606.ENSP00000361965	9606.ENSP00000257770	0	0	0	0	0	0	0.942	0	0.942
ADA	DPP4	9606.ENSP00000361965	9606.ENSP00000353731	0	0	0	0	0	0.972	0	0	0.972
ADA	PNP	9606.ENSP00000361965	9606.ENSP00000354532	0	0	0	0	0	0	0.932	0	0.932
ADCY3	PRKACB	9606.ENSP00000384484	9606.ENSP00000359719	0	0	0	0	0	0.096	0.900	0	0.905
ADCY3	GCH1	9606.ENSP00000384484	9606.ENSP00000477796	0	0	0	0	0	0	0.800	0	0.800
AGTR1	SERPINE1	9606.ENSP00000398832	9606.ENSP00000223095	0	0	0	0	0	0	0.900	0	0.900
AKT1	MAPK1	9606.ENSP00000451828	9606.ENSP00000215832	0	0	0	0.593	0	0.110	0.900	0	0.907
AKT1	MAPK3	9606.ENSP00000451828	9606.ENSP00000263025	0	0	0	0.587	0	0.110	0.900	0	0.907
AKT1	TP53	9606.ENSP00000451828	9606.ENSP00000269305	0	0	0	0	0	0.184	0.900	0	0.914
AKT1	GSK3B	9606.ENSP00000451828	9606.ENSP00000324806	0	0	0	0.579	0	0.929	0.900	0	0.992
AKT1	HSP90AA1	9606.ENSP00000451828	9606.ENSP00000335153	0	0	0	0	0	0.883	0.900	0	0.987
AKT1	MAPT	9606.ENSP00000451828	9606.ENSP00000340820	0	0	0	0	0	0.737	0	0	0.737
AKT1	MTOR	9606.ENSP00000451828	9606.ENSP00000354558	0	0	0	0	0	0.925	0.900	0	0.992
AKT1	BCL2	9606.ENSP00000451828	9606.ENSP00000381185	0	0	0	0	0	0	0.900	0	0.900
AKT1	CREB1	9606.ENSP00000451828	9606.ENSP00000387699	0	0	0	0	0	0.292	0.750	0	0.815
AKT1	PIK3R1	9606.ENSP00000451828	9606.ENSP00000428056	0	0	0	0	0	0.558	0.900	0	0.953
AKT1	CTNNB1	9606.ENSP00000451828	9606.ENSP00000495360	0	0	0	0	0	0.539	0.400	0	0.711
ALPP	GCH1	9606.ENSP00000375881	9606.ENSP00000477796	0	0	0	0	0	0	0.900	0	0.900
AOX1	ACADS	9606.ENSP00000363832	9606.ENSP00000242592	0	0	0	0	0	0	0.800	0	0.800
AOX1	CYP2B6	9606.ENSP00000363832	9606.ENSP00000324648	0	0	0	0	0	0	0.911	0	0.911
AOX1	MAOA	9606.ENSP00000363832	9606.ENSP00000340684	0	0	0	0	0	0	0.900	0	0.900
AOX1	CYP1A2	9606.ENSP00000363832	9606.ENSP00000342007	0	0	0	0	0	0	0.913	0	0.913
AOX1	CYP3A4	9606.ENSP00000363832	9606.ENSP00000498939	0	0	0	0	0	0	0.909	0	0.909
APOB	APP	9606.ENSP00000233242	9606.ENSP00000284981	0	0	0	0	0	0.095	0.720	0	0.735
APOB	SAA1	9606.ENSP00000233242	9606.ENSP00000384906	0	0	0	0	0	0	0.800	0	0.800
APOB	LDLR	9606.ENSP00000233242	9606.ENSP00000454071	0	0	0	0	0	0.422	0.900	0	0.939
APP	APOB	9606.ENSP00000284981	9606.ENSP00000233242	0	0	0	0	0	0.095	0.720	0	0.735
APP	FPR2	9606.ENSP00000284981	9606.ENSP00000468897	0	0	0	0	0	0.903	0.500	0	0.949
APP	BACE1	9606.ENSP00000284981	9606.ENSP00000318585	0	0	0	0	0	0.860	0.750	0	0.963
APP	PSEN1	9606.ENSP00000284981	9606.ENSP00000326366	0	0	0	0	0	0.981	0	0	0.981
ARHGEF5	RHOA	9606.ENSP00000056217	9606.ENSP00000400175	0	0	0	0	0	0.593	0.400	0	0.745
ASNS	ASPA	9606.ENSP00000377845	9606.ENSP00000263080	0	0	0	0	0	0	0.900	0	0.900
ASPA	ASNS	9606.ENSP00000263080	9606.ENSP00000377845	0	0	0	0	0	0	0.900	0	0.900
ATIC	ENTPD1	9606.ENSP00000236959	9606.ENSP00000360250	0	0	0	0	0	0	0.900	0	0.900
ATIC	NT5E	9606.ENSP00000236959	9606.ENSP00000257770	0	0	0	0	0	0	0.900	0	0.900
ATIC	HPRT1	9606.ENSP00000236959	9606.ENSP00000298556	0	0	0	0	0	0	0.900	0	0.900
ATIC	DHFR	9606.ENSP00000236959	9606.ENSP00000396308	0	0	0	0	0	0	0.900	0	0.900
AXIN2	GSK3B	9606.ENSP00000302625	9606.ENSP00000324806	0	0	0	0	0	0.921	0.900	0	0.991
AXIN2	CTNNB1	9606.ENSP00000302625	9606.ENSP00000495360	0	0	0	0	0	0.869	0.900	0	0.986
BACE1	APP	9606.ENSP00000318585	9606.ENSP00000284981	0	0	0	0	0	0.860	0.750	0	0.963
BAX	TP53	9606.ENSP00000293288	9606.ENSP00000269305	0	0	0	0	0	0.782	0.900	0	0.977
BAX	SFN	9606.ENSP00000293288	9606.ENSP00000340989	0	0	0	0	0	0.292	0.700	0	0.778
BAX	PRKACB	9606.ENSP00000293288	9606.ENSP00000359719	0	0	0	0	0	0	0.900	0	0.900
BAX	BCL2	9606.ENSP00000293288	9606.ENSP00000381185	0	0	0	0.641	0	0.991	0.900	0	0.999
BCL2	MAPK1	9606.ENSP00000381185	9606.ENSP00000215832	0	0	0	0	0	0.292	0.900	0	0.926
BCL2	MAPK3	9606.ENSP00000381185	9606.ENSP00000263025	0	0	0	0	0	0	0.900	0	0.900
BCL2	STAT3	9606.ENSP00000381185	9606.ENSP00000264657	0	0	0	0	0	0.056	0.750	0	0.753
BCL2	TP53	9606.ENSP00000381185	9606.ENSP00000269305	0	0	0	0	0	0.869	0.900	0	0.986
BCL2	SOD1	9606.ENSP00000381185	9606.ENSP00000270142	0	0	0	0	0	0.329	0.900	0	0.930
BCL2	CTSK	9606.ENSP00000381185	9606.ENSP00000271651	0	0	0	0	0	0	0.900	0	0.900
BCL2	BAX	9606.ENSP00000381185	9606.ENSP00000293288	0	0	0	0.641	0	0.991	0.900	0	0.999
BCL2	MAPK8	9606.ENSP00000381185	9606.ENSP00000378974	0	0	0	0	0	0.287	0.900	0	0.925
BCL2	CREB1	9606.ENSP00000381185	9606.ENSP00000387699	0	0	0	0	0	0	0.750	0	0.750
BCL2	AKT1	9606.ENSP00000381185	9606.ENSP00000451828	0	0	0	0	0	0	0.900	0	0.900
BRAF	MAPK1	9606.ENSP00000419060	9606.ENSP00000215832	0	0	0	0.586	0	0.647	0.700	0	0.889
BRAF	KRAS	9606.ENSP00000419060	9606.ENSP00000256078	0	0	0	0	0	0.870	0.900	0	0.986
BRAF	MAPK3	9606.ENSP00000419060	9606.ENSP00000263025	0	0	0	0.579	0	0.653	0.700	0	0.891
BRAF	MAP2K1	9606.ENSP00000419060	9606.ENSP00000302486	0	0	0	0.580	0	0.996	0.900	0	0.999
BRAF	GSK3B	9606.ENSP00000419060	9606.ENSP00000324806	0	0	0	0.577	0	0	0.900	0	0.900
BRAF	HSP90AA1	9606.ENSP00000419060	9606.ENSP00000335153	0	0	0	0	0	0.784	0	0	0.784
BRAF	SFN	9606.ENSP00000419060	9606.ENSP00000340989	0	0	0	0	0	0.785	0	0	0.785
BRAF	PRKACB	9606.ENSP00000419060	9606.ENSP00000359719	0	0	0	0.579	0	0.088	0.900	0	0.904
CASP1	IL1B	9606.ENSP00000433138	9606.ENSP00000263341	0	0	0	0	0	0.787	0.900	0	0.977
CASP1	IL18	9606.ENSP00000433138	9606.ENSP00000280357	0	0	0	0	0	0.292	0.900	0	0.926
CASP1	NLRP3	9606.ENSP00000433138	9606.ENSP00000337383	0	0	0	0	0	0.307	0.900	0	0.927
CAT	SOD1	9606.ENSP00000241052	9606.ENSP00000270142	0	0	0	0	0	0.250	0.792	0	0.837
CBLB	EGFR	9606.ENSP00000499037	9606.ENSP00000275493	0	0	0	0	0	0.942	0.900	0	0.993
CBLB	INSR	9606.ENSP00000499037	9606.ENSP00000303830	0	0	0	0	0	0.130	0.900	0	0.909
CBLB	SYK	9606.ENSP00000499037	9606.ENSP00000364898	0	0	0	0	0	0.555	0.900	0	0.953
CBLB	PIK3R1	9606.ENSP00000499037	9606.ENSP00000428056	0	0	0	0	0	0.749	0.900	0	0.973
CD163	IL10	9606.ENSP00000352071	9606.ENSP00000412237	0	0	0	0	0	0	0.750	0	0.750
CD163	IL6	9606.ENSP00000352071	9606.ENSP00000385675	0	0	0	0	0	0	0.750	0	0.750
CD28	PIK3R1	9606.ENSP00000324890	9606.ENSP00000428056	0	0	0	0	0	0.923	0.900	0	0.991
CD8A	SYK	9606.ENSP00000386559	9606.ENSP00000364898	0	0	0	0	0	0.045	0.900	0	0.900
CD8A	HLA-A	9606.ENSP00000386559	9606.ENSP00000379873	0	0	0	0	0	0.976	0.900	0	0.997
CD8A	HLA-B	9606.ENSP00000386559	9606.ENSP00000399168	0	0	0	0	0	0.585	0.900	0	0.956
CDH11	CTNNB1	9606.ENSP00000268603	9606.ENSP00000495360	0	0	0	0	0	0.770	0.540	0	0.890
CDO1	CSAD	9606.ENSP00000250535	9606.ENSP00000267085	0	0	0	0	0	0	0.913	0	0.913
CLNS1A	WDR77	9606.ENSP00000433919	9606.ENSP00000235090	0	0	0	0	0	0.955	0.900	0	0.995
CLNS1A	PRMT5	9606.ENSP00000433919	9606.ENSP00000319169	0	0	0	0	0	0.986	0.900	0	0.998
COMT	MAOA	9606.ENSP00000354511	9606.ENSP00000340684	0	0	0	0	0	0	0.910	0	0.910
COPRS	WDR77	9606.ENSP00000304327	9606.ENSP00000235090	0	0	0	0	0	0.622	0.500	0	0.802
COPRS	PRMT5	9606.ENSP00000304327	9606.ENSP00000319169	0	0	0	0	0	0.779	0.500	0	0.884
CREB1	MAPK1	9606.ENSP00000387699	9606.ENSP00000215832	0	0	0	0	0	0	0.900	0	0.900
CREB1	MAPK3	9606.ENSP00000387699	9606.ENSP00000263025	0	0	0	0	0	0	0.900	0	0.900
CREB1	TP53	9606.ENSP00000387699	9606.ENSP00000269305	0	0	0	0	0	0.776	0	0	0.776
CREB1	GSK3B	9606.ENSP00000387699	9606.ENSP00000324806	0	0	0	0	0	0.292	0.900	0	0.926
CREB1	PRKACB	9606.ENSP00000387699	9606.ENSP00000359719	0	0	0	0	0	0	0.900	0	0.900
CREB1	BCL2	9606.ENSP00000387699	9606.ENSP00000381185	0	0	0	0	0	0	0.750	0	0.750
CREB1	IL6	9606.ENSP00000387699	9606.ENSP00000385675	0	0	0	0	0	0	0.750	0	0.750
CREB1	IL10	9606.ENSP00000387699	9606.ENSP00000412237	0	0	0	0	0	0	0.750	0	0.750
